iso3,country,region,income_group,pop_15_24_2026,pop_15_24_2035,pop_15_24_2050,tertiary_enrollment_gross,secondary_completion_upper,gdp_ppp_current,gdp_pc_ppp_current,gdp_growth_real,inflation_cpi,unemployment,industry_value_added,manufacturing_value_added,services_value_added,trade_percent_gdp,internet_users,wgi_political_stability,wgi_government_effectiveness,wgi_regulatory_quality,wgi_rule_of_law,wgi_control_corruption,lpi_overall,national_priority_energy,national_priority_logistics,national_priority_diplomacy,gender_parity_tertiary,inbound_mobile_students,inbound_mobility_ratio,urban_population_pct,fdi_inflows_percent_gdp,business_informatics_priority,international_branch_competition
IND,India,South Asia,Lower middle income,254000000,248000000,219000000,32,80,14500000000000,10300,6.3,4.9,4.4,25,15,49,46,52,-0.6,0.0,-0.2,0.0,-0.3,3.4,0.55,0.6,0.75,0.98,49000,0.3,36,1.6,0.85,5
CHN,China,East Asia & Pacific,Upper middle income,152000000,116000000,94000000,72,96,35100000000000,24800,4.2,1.3,5.1,39,28,54,38,77,-0.3,0.5,0.2,-0.1,-0.4,3.7,0.75,0.9,0.7,1.1,250000,1.2,65,1.0,0.9,4
IDN,Indonesia,East Asia & Pacific,Upper middle income,44800000,43000000,38800000,45,88,4300000000000,15500,5.0,2.8,5.3,39,19,42,44,70,-0.4,0.0,-0.1,-0.3,-0.5,3.0,0.65,0.7,0.7,1.05,8000,0.2,58,1.8,0.7,3
SAU,Saudi Arabia,Middle East & North Africa,High income,4200000,4500000,5100000,73,95,2300000000000,65000,3.5,2.1,5.6,47,11,51,64,100,-0.2,0.1,0.1,0.1,-0.1,3.5,1.0,0.85,0.8,1.18,73000,5.5,85,1.5,0.75,4
ARE,United Arab Emirates,Middle East & North Africa,High income,850000,950000,1050000,65,94,890000000000,85000,4.0,2.5,2.7,50,9,49,167,99,0.7,1.2,1.0,0.8,0.9,4.0,0.85,0.95,0.85,1.15,77000,22.0,87,4.0,0.95,5
EGY,Egypt,Middle East & North Africa,Lower middle income,18500000,21400000,22500000,37,83,1900000000000,17000,4.0,8.5,7.1,32,16,52,34,72,-1.0,-0.5,-0.6,-0.5,-0.7,3.1,0.75,0.8,0.85,0.95,27000,2.0,43,2.7,0.65,2
ETH,Ethiopia,Sub-Saharan Africa,Low income,24900000,33000000,43000000,10,58,390000000000,3100,6.0,14.0,3.7,29,6,37,21,25,-1.2,-0.7,-0.8,-0.8,-0.7,2.4,0.45,0.45,0.65,0.72,3500,0.4,22,2.5,0.35,1
TUR,Turkiye,Europe & Central Asia,Upper middle income,12500000,11800000,10400000,110,90,3400000000000,40000,3.2,18.0,9.5,31,19,53,70,83,-1.0,0.0,0.0,-0.2,-0.3,3.4,0.75,0.95,0.8,1.02,260000,3.5,77,1.2,0.7,4
VNM,Viet Nam,East Asia & Pacific,Lower middle income,13500000,13000000,11600000,38,90,1500000000000,15000,6.0,3.5,2.1,38,24,42,185,78,0.1,0.3,0.1,0.0,-0.2,3.3,0.55,0.85,0.75,1.04,8000,0.5,39,4.4,0.95,2
SRB,Serbia,Europe & Central Asia,Upper middle income,780000,720000,640000,73,94,185000000000,27000,3.5,5.0,9.0,27,15,58,112,83,0.0,0.2,0.1,0.0,-0.1,3.1,0.65,0.8,0.85,1.12,11000,4.5,57,6.0,0.65,2
BRA,Brazil,Latin America & Caribbean,Upper middle income,32300000,30000000,25000000,57,82,4500000000000,21000,2.1,4.0,8.0,21,10,59,36,81,-0.4,-0.2,-0.1,-0.2,-0.4,3.2,0.7,0.6,0.65,1.25,20000,0.4,88,3.0,0.65,3
MEX,Mexico,Latin America & Caribbean,Upper middle income,20800000,19200000,16500000,43,87,3300000000000,25000,2.4,4.1,3.4,30,18,60,84,76,-0.6,-0.1,0.0,-0.5,-0.6,3.0,0.65,0.75,0.55,1.08,30000,0.8,82,2.5,0.7,3
ZAF,South Africa,Sub-Saharan Africa,Upper middle income,9200000,9500000,9300000,24,78,950000000000,16000,1.7,5.6,31.0,24,12,63,65,75,-0.7,0.0,0.1,0.0,-0.1,3.3,0.7,0.7,0.7,1.2,42000,3.0,68,1.0,0.6,3
IRN,Iran,Middle East & North Africa,Lower middle income,11200000,9500000,8400000,70,88,1700000000000,19000,3.0,30.0,9.0,36,13,54,48,84,-1.5,-1.0,-1.2,-1.0,-1.0,2.7,1.0,0.55,0.85,1.05,58000,2.2,77,0.5,0.55,1
THA,Thailand,East Asia & Pacific,Upper middle income,7900000,6800000,5500000,49,90,1650000000000,24000,3.0,2.3,1.2,34,27,58,116,88,-0.5,0.3,0.2,0.1,-0.2,3.5,0.45,0.85,0.65,1.18,32000,2.5,53,2.0,0.7,4
MYS,Malaysia,East Asia & Pacific,Upper middle income,4800000,5000000,4900000,44,92,1250000000000,37000,4.2,2.8,3.4,37,22,54,132,97,0.2,0.7,0.5,0.4,0.2,3.6,0.55,0.85,0.7,1.15,135000,8.0,78,3.5,0.85,5
BLR,Belarus,Europe & Central Asia,Upper middle income,1050000,950000,820000,91,96,230000000000,25000,2.8,7.0,4.0,41,22,48,130,86,-0.8,-0.5,-0.9,-0.8,-0.8,2.9,0.75,0.7,0.9,1.24,25000,5.0,80,1.2,0.7,1
ARM,Armenia,Europe & Central Asia,Upper middle income,360000,350000,320000,62,93,58000000000,20000,5.0,3.0,12.0,26,11,55,78,78,-0.3,0.1,0.2,0.1,-0.1,2.9,0.45,0.65,0.85,1.3,7000,3.0,64,3.2,0.75,1
KAZ,Kazakhstan,Europe & Central Asia,Upper middle income,2450000,2600000,2700000,67,96,650000000000,34000,4.0,7.5,4.8,34,13,56,63,92,0.0,0.0,0.0,0.0,-0.2,3.1,0.95,0.9,0.95,1.18,39000,4.0,58,2.8,0.85,2
UZB,Uzbekistan,Europe & Central Asia,Lower middle income,5450000,6100000,6900000,16,91,420000000000,11500,5.5,10.0,7.2,33,17,42,75,76,-0.2,-0.3,-0.4,-0.5,-0.6,2.8,0.7,0.85,0.95,0.92,7000,0.8,51,2.0,0.7,2
USA,United States,North America,High income,45000000,43000000,42000000,88,94,29000000000000,86000,2.0,2.8,4.0,18,11,77,25,92,0.3,1.4,1.2,1.3,1.0,3.9,0.8,0.8,0.2,1.25,1050000,5.5,83,1.5,0.95,5
JPN,Japan,East Asia & Pacific,High income,10500000,9000000,7900000,65,99,6100000000000,49000,1.0,1.5,2.7,29,20,69,38,85,1.0,1.5,1.3,1.4,1.4,3.8,0.65,0.85,0.2,0.92,230000,4.5,92,0.3,0.9,5
CAN,Canada,North America,High income,4700000,4900000,5000000,78,96,2400000000000,60000,1.8,2.2,6.0,25,10,70,65,94,1.1,1.5,1.5,1.6,1.6,3.9,0.7,0.8,0.2,1.28,900000,18.0,82,3.0,0.9,5
FRA,France,Europe & Central Asia,High income,7900000,7600000,7100000,70,95,3900000000000,58000,1.4,2.0,7.4,20,10,70,70,86,0.4,1.2,1.1,1.2,1.1,3.8,0.65,0.85,0.2,1.18,410000,10.0,82,1.8,0.85,5
