Country Code,Country Name,Region,rank_balanced,target_tuition_usd,compact_capex_usd_mn,compact_capex_rub_mn,compact_opex_usd_mn,compact_opex_rub_mn,compact_breakeven_students,standard_capex_usd_mn,standard_capex_rub_mn,standard_opex_usd_mn,standard_opex_rub_mn,standard_breakeven_students,campus_capex_usd_mn,campus_capex_rub_mn,campus_opex_usd_mn,campus_opex_rub_mn,campus_breakeven_students
ARE,United Arab Emirates,Middle East & North Africa,1,12546.324863703816,2.5921652326379476,190.11872995650455,0.8259021802658114,60.57463914854356,66.0,6.105413081594868,447.79297489126134,1.5652579845670644,114.80165551689294,125.0,17.414434884252984,1277.2373463766971,4.055413081594868,297.43859489126135,323.0
SAU,Saudi Arabia,Middle East & North Africa,2,11302.699346574673,2.3357255758321074,171.31052234359973,0.7190523232633781,52.737885976499896,64.0,5.4643139395802685,400.77245585899936,1.3373116229618733,98.08324874986644,118.0,15.704837172214049,1151.8492956239982,3.4143139395802686,250.41807585899937,302.0
MYS,Malaysia,East Asia & Pacific,3,6140.921721279935,2.0011697892606297,146.77299655561592,0.5796540788585955,42.513916898173285,94.0,4.627924473151573,339.4286413890397,1.039928701565004,76.27211471610303,169.0,13.474465261737532,988.2657903707727,2.5779244731515734,189.07426138903972,420.0
TUR,Türkiye,Europe & Central Asia,4,6507.808278580261,2.083976721415725,152.84635506482638,0.6141569672565521,45.04448294367765,94.0,4.834941803539313,354.6120376620659,1.1135348634806446,81.670655613179,171.0,14.026511476104835,1028.7548470988424,2.7849418035393128,204.25765766206592,428.0
THA,Thailand,East Asia & Pacific,5,3913.2972579466955,1.9851198266792698,145.5958345200337,0.5729665944496957,42.023432716680695,146.0,4.587799566698174,336.48573630008417,1.025662068159351,75.22574846225217,262.0,13.367465511195132,980.4180434668912,2.5377995666981743,186.1313563000842,649.0
CHN,China,East Asia & Pacific,6,4292.211549910663,2.3334451683906656,171.1432690523776,0.7181021534961106,52.66819710515733,167.0,5.458612920976664,400.35432263094407,1.3352845941250362,97.93457915766899,311.0,15.689634455937771,1150.7342736825174,3.4086129209766636,249.99994263094402,794.0
CHL,Chile,Latin America & Caribbean,7,5432.901682044847,2.281311205261526,167.31957651421925,0.6963796688589692,51.074991880924685,128.0,5.328278013153815,390.7950912855481,1.2889432935658012,94.5357413459727,237.0,15.342074701743508,1125.242990094795,3.278278013153815,240.44071128554813,603.0
ARG,Argentina,Latin America & Caribbean,8,4818.9538377102745,2.276310374606665,166.95279759100137,0.6942959894194436,50.9221673295839,144.0,5.315775936516662,389.87814397750344,1.28449811076148,94.20971563644567,267.0,15.308735830711099,1122.7977972733424,3.265775936516662,239.52376397750345,678.0
VNM,Viet Nam,East Asia & Pacific,9,3000.0,1.9682093387153785,144.35555845500522,0.5659205577980744,41.506651022918845,189.0,4.545523346788446,333.38504613751303,1.0106305233025588,74.12328084889354,337.0,13.25472892476919,972.1495363667015,2.4955233467884463,183.0306661375131,832.0
PHL,Philippines,East Asia & Pacific,10,3000.0,2.0581578021343274,150.95270257661926,0.6033990842226362,44.25546107359134,201.0,4.770394505335817,349.877906441548,1.0905847130082909,79.98740895699487,364.0,13.854385347562182,1016.1304971774616,2.7203945053358174,199.52352644154803,907.0
BRA,Brazil,Latin America & Caribbean,11,3537.425789850664,2.2808081317383166,167.2826792909624,0.6961700548909652,51.05961803790099,197.0,5.327020329345791,390.7028482274059,1.2884961171007259,94.5029438141888,364.0,15.338720878255444,1124.9970086064159,3.277020329345791,240.34846822740593,926.0
IDN,Indonesia,East Asia & Pacific,12,3000.0,1.9890093853823845,145.88110875773145,0.5745872439093269,42.1422969823881,192.0,4.597523463455961,337.19892189432863,1.0291194536732307,75.47932556242796,343.0,13.39339590254923,982.3198717182096,2.547523463455961,186.84454189432861,849.0
ISR,Israel,Middle East & North Africa,13,8520.991643235684,3.1537950430908843,231.31068212244057,1.0599146012878684,77.7379525510169,124.0,7.50948760772721,550.7728553061014,2.064484482747453,151.41672410883606,242.0,21.158633620605894,1551.8503608162703,5.45948760772721,400.41847530610136,641.0
COL,Colombia,Latin America & Caribbean,14,3325.8986399616433,2.0878047160627986,153.12711397302346,0.615751965026166,45.161465822093106,185.0,4.8445117901569965,355.31393493255865,1.1169375253891545,81.92021908713198,336.0,14.052031440418657,1030.6265731534897,2.7945117901569967,204.9595549325587,840.0
KWT,Kuwait,Middle East & North Africa,15,8304.744136587216,2.5729567964380715,188.70991409523532,0.8178986651825297,59.987632539681385,98.0,6.057391991095178,444.27093523808827,1.5481838190560637,113.54937475132031,186.0,17.286378642920475,1267.845240634902,4.0073919910951785,293.91655523808834,483.0
PER,Peru,Latin America & Caribbean,16,3000.0,2.3046181082509403,169.02898868431365,0.7060908784378916,51.78724695179734,235.0,5.38654527062735,395.06862171078404,1.3096605406675024,96.05521883050102,437.0,15.497454055006267,1136.6390712287575,3.33654527062735,244.71424171078408,1112.0
DOM,Dominican Republic,Latin America & Caribbean,17,4361.380107712473,2.160784663039645,158.4797260121145,0.6461602762665186,47.39172083838103,148.0,5.026961657599112,368.6954650302862,1.1818085893685732,86.67809645521288,271.0,14.538564420264299,1066.3106534140966,2.976961657599112,218.3410850302862,683.0
MEX,Mexico,Latin America & Caribbean,18,3967.1331663422816,2.425140675770334,177.86854766742908,0.7563086149043058,55.470396528095435,191.0,5.687851689425835,417.16751916857265,1.4167917117958524,103.91260459327027,357.0,16.300937838468894,1195.569464449527,3.637851689425835,266.81313916857266,917.0
IND,India,South Asia,19,3000.0,1.9,139.35284,0.5375,39.422185,179.0,4.375,320.87825,0.9500000000000001,69.67642,317.0,12.8,938.79808,2.325,170.52387,775.0
IRN,"Iran, Islamic Rep.",Middle East & North Africa,20,3147.143762528404,1.9200794410469677,140.82553849237237,0.5458664337695698,40.03580937182181,173.0,4.425198602617419,324.5599962309309,0.9678483920417491,70.98548532655323,308.0,12.93386294031312,948.6160699491493,2.375198602617419,174.20561623093093,755.0
JOR,Jordan,Middle East & North Africa,21,3000.0,2.2181541002992535,162.68740707070833,0.6700642084580222,49.14492127946179,223.0,5.170385250748133,379.2146676767707,1.2328036447104473,90.41825739618515,411.0,14.921027335328356,1094.3618604713888,3.120385250748133,228.86028767677075,1040.0
EGY,"Egypt, Arab Rep.",Middle East & North Africa,22,3023.6672840155197,1.9,139.35284,0.5375,39.422185,178.0,4.375,320.87825,0.9500000000000001,69.67642,314.0,12.8,938.79808,2.325,170.52387,769.0
MAR,Morocco,Middle East & North Africa,23,3000.0,2.167778274158588,158.99266262857782,0.6490742808994115,47.605444428574074,216.0,5.04444568539647,369.9778065714445,1.1880251325854114,87.13404011429138,396.0,14.585188494390586,1069.7302308571852,2.994445685396469,219.62342657144447,998.0
OMN,Oman,Middle East & North Africa,24,6609.794483415341,2.3247787263260826,170.50764099216966,0.714491135969201,52.40335208007069,108.0,5.436946815815206,398.7652524804241,1.3275810900676288,97.36957643748413,201.0,15.631858175507215,1146.4967532811309,3.3869468158152056,248.4108724804241,512.0
GEO,Georgia,Europe & Central Asia,25,4479.103460909496,2.03810822361325,149.48219430940074,0.5950450931721873,43.642749295583634,133.0,4.720270559033124,346.20163577350183,1.0727628654339996,78.68029049724508,240.0,13.720721490754999,1006.3271087293382,2.670270559033124,195.84725577350184,596.0
GHA,Ghana,Sub-Saharan Africa,26,3000.0,1.9865825280142417,145.70311430166532,0.5735760533392673,42.068132625693885,191.0,4.591456320035604,336.7539357541633,1.0269622471237705,75.32110826814697,342.0,13.377216853428278,981.1332420111022,2.541456320035604,186.39955575416332,847.0
BHR,Bahrain,Middle East & North Africa,27,10600.529487493259,2.2473622907231356,164.82964090588135,0.6822342878013065,50.0375187107839,64.0,5.243405726807839,384.5702522647034,1.2587664806427874,92.32246524967233,119.0,15.115748604820904,1108.6434193725424,3.193405726807839,234.21587226470342,301.0
DZA,Algeria,Middle East & North Africa,28,3000.0,2.0376814465152604,149.45089294063663,0.5948672693813585,43.6297070585986,198.0,4.719203616288151,346.12338235159166,1.0723835080135649,78.65246705834369,357.0,13.717876310101737,1006.1184329375777,2.669203616288151,195.76900235159164,890.0
URY,Uruguay,Latin America & Caribbean,29,5766.97909118809,2.631609990558113,193.011750503498,0.8423374960658802,61.78006437645748,146.0,6.2040249763952815,455.02552625874495,1.6003199916072113,117.37322933644265,277.0,17.677399937054084,1296.5241500233199,4.154024976395281,304.6711462587449,720.0
BLR,Belarus,Europe & Central Asia,30,5227.375064227648,1.9035471427734747,139.6130002207206,0.5389779761556144,39.53058509196691,103.0,4.383867856933686,321.5286505518015,0.9531530157986441,69.90767352952943,182.0,12.823647618489831,940.5324814714708,2.3338678569336864,171.1742705518015,446.0
PAN,Panama,Latin America & Caribbean,31,6551.0851552406375,2.2837122398962433,167.49567703805408,0.6973800999567679,51.148367099189194,106.0,5.334280599740607,391.23534259513514,1.2910775465744384,94.69227514493697,197.0,15.358081599308289,1126.4169935870273,3.2842805997406073,240.88096259513517,501.0
ZAF,South Africa,Sub-Saharan Africa,32,3000.0,2.17986484388623,159.87913516405408,0.6541103516192625,47.97480798502254,218.0,5.074662109715575,372.19398791013526,1.1987687501210933,87.92201570138141,400.0,14.6657656259082,1075.6400477603606,3.0246621097155746,221.83960791013521,1008.0
SEN,Senegal,Sub-Saharan Africa,33,3000.0,2.079464428981694,152.51540729346175,0.612276845409039,44.906588038942395,204.0,4.823661072454235,353.78466823365443,1.1095239368726169,81.37647981641045,370.0,13.996429526544627,1026.5485286230785,2.7736610724542348,203.4302882336544,925.0
NGA,Nigeria,Sub-Saharan Africa,34,3000.0,1.9,139.35284,0.5375,39.422185,179.0,4.375,320.87825,0.9500000000000001,69.67642,317.0,12.8,938.79808,2.325,170.52387,775.0
AGO,Angola,Sub-Saharan Africa,35,3000.0,1.9242325756999294,141.13014433910533,0.5475969065416373,40.16272847462722,183.0,4.435581439249823,325.3215108477633,0.9715400672888261,71.25624607920474,324.0,12.961550504666196,950.6467755940355,2.3855814392498234,174.96713084776334,795.0
CRI,Costa Rica,Latin America & Caribbean,36,4855.218508452941,2.5255498519255424,185.2329181196862,0.7981457716356427,58.53888421653592,164.0,5.938874629813856,435.5784452992155,1.5060443128227046,110.45871166194331,310.0,16.970332346170284,1244.6652674645748,3.8888746298138566,285.22406529921557,801.0
CIV,Côte d'Ivoire,Sub-Saharan Africa,37,3000.0,2.090247728476032,153.3062932982547,0.6167698868650132,45.23612387427278,206.0,4.85061932119008,355.76188324563674,1.119109091978695,82.0794895984486,373.0,14.068318189840213,1031.8211019883645,2.8006193211900796,205.40750324563672,934.0
SRB,Serbia,Europe & Central Asia,38,4842.153556438135,2.1999524745323047,161.35243431110754,0.6624801977217936,48.58868262962814,137.0,5.124881186330762,375.8772357777688,1.2166244218064932,89.23161494320671,251.0,14.799683163548698,1085.4620420740503,3.074881186330762,225.52285577776885,635.0
VEN,"Venezuela, RB",Latin America & Caribbean,39,4164.256637027377,2.575071377963543,188.8650051168069,0.8187797408181428,60.05225379866953,197.0,6.062678444908856,444.6586627920172,1.5500634470787047,113.68723343716168,372.0,17.300475853090283,1268.8791807787125,4.012678444908857,294.3042827920172,964.0
QAT,Qatar,Middle East & North Africa,40,14000.0,2.5451498730121873,186.67045422625665,0.8063124470884113,59.1378575942736,58.0,5.987874682530468,439.17228556564163,1.523466553788611,111.73652153445036,109.0,17.10099915341458,1254.2488415083776,3.9378746825304685,288.81790556564164,281.0
MNG,Mongolia,East Asia & Pacific,41,3031.6771057283418,2.0846987740400125,152.89931300368104,0.6144578225166718,45.066548751533766,203.0,4.836746935100031,354.7444325092026,1.1141766880355668,81.71772933660539,368.0,14.03132516026675,1029.1079000245404,2.786746935100031,204.39005250920263,919.0
