Country Code,Country Name,Region,IncomeGroup,student_pool_2026,student_pool_2035,student_pool_2050,student_pool_growth_2026_2050_pct,gdp_pc_ppp,gdp_growth,trade_gdp,services_share,tertiary_enrollment,internet_users,urban_share,gov_effectiveness,reg_quality,rule_of_law,pol_stability,target_tuition_usd,standard_capex_usd_mn,standard_capex_rub_mn,standard_opex_usd_mn,standard_opex_rub_mn,standard_breakeven_students,data_coverage_pct
ARE,United Arab Emirates,Middle East & North Africa,High income,2149474.4100077306,2546708.1444229707,2927947.392894231,36.216899315572704,69701.80479835454,3.991807054853979,199.0449792375464,54.9012947560482,63.7384451086316,100.0,85.8171088279791,11.229973316192613,7.29673993587497,6.173300921916961,4.742716610431675,12546.324863703816,6.105413081594868,447.7929748912613,1.5652579845670644,114.80165551689294,125.0,100.0
SAU,Saudi Arabia,Middle East & North Africa,High income,7017385.782960276,7961135.164149521,8830309.07797864,25.834738905484333,62792.77414763707,1.996501734361587,54.67870526687325,47.07456035542807,83.884129573915,100.0,84.4554020211443,5.575087547302245,3.619496226310727,2.901995867490769,-1.492571711540224,11302.699346574673,5.4643139395802685,400.77245585899936,1.3373116229618731,98.08324874986644,118.0,100.0
MYS,Malaysia,East Asia & Pacific,Upper middle income,7370573.29315381,7518806.388115466,7642222.832983172,3.685595801369801,34116.23178488853,5.105459210240412,137.3625711615591,53.72030050186682,38.5013945445142,98.0206059,76.9170296648992,6.127587676048279,4.626259922981263,4.003408133983616,1.17960289120674,6140.921721279935,4.627924473151573,339.4286413890397,1.039928701565004,76.27211471610303,169.0,100.0
TUR,Türkiye,Europe & Central Asia,Upper middle income,15479225.709568392,14978575.59081826,14582115.941243902,-5.7955726284806826,36154.49043655701,3.327623089379898,54.59880611959156,57.52127735801306,105.88606262207,89.77024003,89.3443122873887,-1.735381111502647,-1.606571525335315,-3.583810329437255,-7.07756268978122,6507.808278580261,4.834941803539313,354.6120376620659,1.1135348634806446,81.670655613179,171.0,100.0
THA,Thailand,East Asia & Pacific,Upper middle income,10995029.23694813,10046126.89730656,9334529.14019037,-15.102279957362462,21740.540321926088,2.541820677352888,136.7471070224512,59.1528957274226,49.0776442074561,90.86718789,61.8689338391321,1.2019406855106352,1.107804477214813,1.7141092419624324,-1.962120175361633,3913.297257946696,4.587799566698174,336.48573630008417,1.025662068159351,75.22574846225217,262.0,100.0
CHN,China,East Asia & Pacific,Upper middle income,194194459.52415377,173609474.5546623,158488492.04793045,-18.38670761447869,23845.619721725907,4.9773565917572,37.19842013880647,56.74834174178266,76.8757843123403,91.6,65.8946980998325,4.753098189830781,-2.495554655790329,-0.2809097953140738,-3.5916793346405025,4292.211549910663,5.458612920976664,400.35432263094407,1.3352845941250362,97.934579157669,311.0,100.0
CHL,Chile,Latin America & Caribbean,High income,3185687.914405413,2961818.1644386263,2791140.4070915743,-12.385001855634648,30182.78712247137,2.644311548715379,63.85985724806601,56.077469183556886,110.176902770996,95.590243,88.9950908479196,5.02289032936096,6.480122029781343,4.3756563067436245,0.95311959087849,5432.901682044847,5.328278013153815,390.7950912855481,1.2889432935658012,94.5357413459727,237.0,100.0
ARG,Argentina,Latin America & Caribbean,Upper middle income,8613236.767870747,8712579.653138397,8794630.52619649,2.105988297017225,26771.96576505708,-1.342930721577389,27.929760849367003,53.651404605042416,107.822574129434,89.66715228,92.2742315972952,-2.642621397972108,-3.3777477443218253,-2.8757857382297543,-0.8926253616809829,4818.9538377102745,5.315775936516662,389.8781439775034,1.28449811076148,94.20971563644568,267.0,100.0
VNM,Viet Nam,East Asia & Pacific,Lower middle income,16544428.68978428,15437808.701848531,14591208.409059668,-11.805909514002554,14415.215953281288,7.091187466339747,173.86202478296536,42.35960253246238,37.5923642016718,84.15,38.4900703430176,0.8852683007717149,-2.678254097700118,-0.5983031317591665,-0.2546651400625702,3000.0,4.545523346788446,333.38504613751303,1.0106305233025588,74.12328084889354,337.0,100.0
PHL,Philippines,East Asia & Pacific,Lower middle income,27036270.04302288,28840874.32137284,30408497.3922274,12.47297553929696,10375.940417993756,5.692016128234116,65.88547252869684,63.22349522199786,47.4134996154186,67.26300914,55.4520983215477,1.0786433666944528,1.14978474378586,-2.92702981829643,-3.962353289127353,3000.0,4.770394505335817,349.877906441548,1.0905847130082909,79.98740895699487,364.0,100.0
BRA,Brazil,Latin America & Caribbean,Upper middle income,37393225.67482868,34885142.84744466,32966739.76113828,-11.837668010198154,19652.365499170355,3.4193151659773946,35.58452393853885,59.17075271742485,69.7317733764648,84.46347227,87.8958549533146,-3.827350199222564,-2.07534748315811,-2.161619901657104,-2.859974503517152,3537.425789850664,5.327020329345791,390.7028482274059,1.288496117100726,94.5029438141888,364.0,100.0
IDN,Indonesia,East Asia & Pacific,Upper middle income,55540004.50577425,57178470.7727367,58554548.041807726,5.427697680002996,14470.43720205784,5.030344694190376,42.572647301834,43.77191678887955,44.8813034886441,72.78075544,58.7509635387997,4.06228464841843,2.1096512973308568,-1.075231239199635,-2.830627202987668,3000.0,4.597523463455961,337.19892189432863,1.0291194536732309,75.47932556242796,343.0,100.0
ISR,Israel,Middle East & North Africa,High income,1917135.4096135097,2249297.374281174,2565133.3895271425,33.80032399715927,47338.84246242046,0.8719684243774424,54.452000296972734,72.5367368776929,56.2561111450195,88.18242225,91.536188843818,8.0175883769989,7.85258543491366,5.486925065517426,-10.253938794136031,8520.991643235684,7.50948760772721,550.7728553061014,2.064484482747453,151.41672410883606,242.0,100.0
