country_code,country_name,basis_group,legal_basis,in_world_bank_panel,source_note
AUT,Austria,EU_member_state,"Распоряжение Правительства РФ от 05.03.2022 №430-р (в ред. 23.07.2022 №2018-р, 29.10.2022 №3216-р)",True,"Expanded from the legal phrase ""States - members of the European Union""."
BEL,Belgium,EU_member_state,"Распоряжение Правительства РФ от 05.03.2022 №430-р (в ред. 23.07.2022 №2018-р, 29.10.2022 №3216-р)",True,"Expanded from the legal phrase ""States - members of the European Union""."
BGR,Bulgaria,EU_member_state,"Распоряжение Правительства РФ от 05.03.2022 №430-р (в ред. 23.07.2022 №2018-р, 29.10.2022 №3216-р)",True,"Expanded from the legal phrase ""States - members of the European Union""."
HRV,Croatia,EU_member_state,"Распоряжение Правительства РФ от 05.03.2022 №430-р (в ред. 23.07.2022 №2018-р, 29.10.2022 №3216-р)",True,"Expanded from the legal phrase ""States - members of the European Union""."
CYP,Cyprus,EU_member_state,"Распоряжение Правительства РФ от 05.03.2022 №430-р (в ред. 23.07.2022 №2018-р, 29.10.2022 №3216-р)",True,"Expanded from the legal phrase ""States - members of the European Union""."
CZE,Czechia,EU_member_state,"Распоряжение Правительства РФ от 05.03.2022 №430-р (в ред. 23.07.2022 №2018-р, 29.10.2022 №3216-р)",True,"Expanded from the legal phrase ""States - members of the European Union""."
DNK,Denmark,EU_member_state,"Распоряжение Правительства РФ от 05.03.2022 №430-р (в ред. 23.07.2022 №2018-р, 29.10.2022 №3216-р)",True,"Expanded from the legal phrase ""States - members of the European Union""."
EST,Estonia,EU_member_state,"Распоряжение Правительства РФ от 05.03.2022 №430-р (в ред. 23.07.2022 №2018-р, 29.10.2022 №3216-р)",True,"Expanded from the legal phrase ""States - members of the European Union""."
FIN,Finland,EU_member_state,"Распоряжение Правительства РФ от 05.03.2022 №430-р (в ред. 23.07.2022 №2018-р, 29.10.2022 №3216-р)",True,"Expanded from the legal phrase ""States - members of the European Union""."
FRA,France,EU_member_state,"Распоряжение Правительства РФ от 05.03.2022 №430-р (в ред. 23.07.2022 №2018-р, 29.10.2022 №3216-р)",True,"Expanded from the legal phrase ""States - members of the European Union""."
DEU,Germany,EU_member_state,"Распоряжение Правительства РФ от 05.03.2022 №430-р (в ред. 23.07.2022 №2018-р, 29.10.2022 №3216-р)",True,"Expanded from the legal phrase ""States - members of the European Union""."
GRC,Greece,EU_member_state,"Распоряжение Правительства РФ от 05.03.2022 №430-р (в ред. 23.07.2022 №2018-р, 29.10.2022 №3216-р)",True,"Expanded from the legal phrase ""States - members of the European Union""."
HUN,Hungary,EU_member_state,"Распоряжение Правительства РФ от 05.03.2022 №430-р (в ред. 23.07.2022 №2018-р, 29.10.2022 №3216-р)",True,"Expanded from the legal phrase ""States - members of the European Union""."
IRL,Ireland,EU_member_state,"Распоряжение Правительства РФ от 05.03.2022 №430-р (в ред. 23.07.2022 №2018-р, 29.10.2022 №3216-р)",True,"Expanded from the legal phrase ""States - members of the European Union""."
ITA,Italy,EU_member_state,"Распоряжение Правительства РФ от 05.03.2022 №430-р (в ред. 23.07.2022 №2018-р, 29.10.2022 №3216-р)",True,"Expanded from the legal phrase ""States - members of the European Union""."
LVA,Latvia,EU_member_state,"Распоряжение Правительства РФ от 05.03.2022 №430-р (в ред. 23.07.2022 №2018-р, 29.10.2022 №3216-р)",True,"Expanded from the legal phrase ""States - members of the European Union""."
LTU,Lithuania,EU_member_state,"Распоряжение Правительства РФ от 05.03.2022 №430-р (в ред. 23.07.2022 №2018-р, 29.10.2022 №3216-р)",True,"Expanded from the legal phrase ""States - members of the European Union""."
LUX,Luxembourg,EU_member_state,"Распоряжение Правительства РФ от 05.03.2022 №430-р (в ред. 23.07.2022 №2018-р, 29.10.2022 №3216-р)",True,"Expanded from the legal phrase ""States - members of the European Union""."
MLT,Malta,EU_member_state,"Распоряжение Правительства РФ от 05.03.2022 №430-р (в ред. 23.07.2022 №2018-р, 29.10.2022 №3216-р)",True,"Expanded from the legal phrase ""States - members of the European Union""."
NLD,Netherlands,EU_member_state,"Распоряжение Правительства РФ от 05.03.2022 №430-р (в ред. 23.07.2022 №2018-р, 29.10.2022 №3216-р)",True,"Expanded from the legal phrase ""States - members of the European Union""."
POL,Poland,EU_member_state,"Распоряжение Правительства РФ от 05.03.2022 №430-р (в ред. 23.07.2022 №2018-р, 29.10.2022 №3216-р)",True,"Expanded from the legal phrase ""States - members of the European Union""."
PRT,Portugal,EU_member_state,"Распоряжение Правительства РФ от 05.03.2022 №430-р (в ред. 23.07.2022 №2018-р, 29.10.2022 №3216-р)",True,"Expanded from the legal phrase ""States - members of the European Union""."
ROU,Romania,EU_member_state,"Распоряжение Правительства РФ от 05.03.2022 №430-р (в ред. 23.07.2022 №2018-р, 29.10.2022 №3216-р)",True,"Expanded from the legal phrase ""States - members of the European Union""."
SVK,Slovak Republic,EU_member_state,"Распоряжение Правительства РФ от 05.03.2022 №430-р (в ред. 23.07.2022 №2018-р, 29.10.2022 №3216-р)",True,"Expanded from the legal phrase ""States - members of the European Union""."
SVN,Slovenia,EU_member_state,"Распоряжение Правительства РФ от 05.03.2022 №430-р (в ред. 23.07.2022 №2018-р, 29.10.2022 №3216-р)",True,"Expanded from the legal phrase ""States - members of the European Union""."
ESP,Spain,EU_member_state,"Распоряжение Правительства РФ от 05.03.2022 №430-р (в ред. 23.07.2022 №2018-р, 29.10.2022 №3216-р)",True,"Expanded from the legal phrase ""States - members of the European Union""."
SWE,Sweden,EU_member_state,"Распоряжение Правительства РФ от 05.03.2022 №430-р (в ред. 23.07.2022 №2018-р, 29.10.2022 №3216-р)",True,"Expanded from the legal phrase ""States - members of the European Union""."
ALB,Albania,explicit_or_uk_territory,"Распоряжение Правительства РФ от 05.03.2022 №430-р (в ред. 23.07.2022 №2018-р, 29.10.2022 №3216-р)",True,Country or territory explicitly named in the consolidated legal list or expanded UK dependency present in the World Bank panel.
AND,Andorra,explicit_or_uk_territory,"Распоряжение Правительства РФ от 05.03.2022 №430-р (в ред. 23.07.2022 №2018-р, 29.10.2022 №3216-р)",True,Country or territory explicitly named in the consolidated legal list or expanded UK dependency present in the World Bank panel.
AUS,Australia,explicit_or_uk_territory,"Распоряжение Правительства РФ от 05.03.2022 №430-р (в ред. 23.07.2022 №2018-р, 29.10.2022 №3216-р)",True,Country or territory explicitly named in the consolidated legal list or expanded UK dependency present in the World Bank panel.
BHS,"Bahamas, The",explicit_or_uk_territory,"Распоряжение Правительства РФ от 05.03.2022 №430-р (в ред. 23.07.2022 №2018-р, 29.10.2022 №3216-р)",True,Country or territory explicitly named in the consolidated legal list or expanded UK dependency present in the World Bank panel.
