iso3,name_ru,name_en,entry_type,group_label,source_basis,hard_exclude,notes
AUS,Австралия,Australia,state,,Распоряжение Правительства РФ от 05.03.2022 №430-р,1,
ALB,Албания,Albania,state,,Распоряжение Правительства РФ от 05.03.2022 №430-р,1,
AND,Андорра,Andorra,state,,Распоряжение Правительства РФ от 05.03.2022 №430-р,1,
BHS,Багамские Острова,Bahamas,state,,Распоряжение Правительства РФ от 23.07.2022 №2018-р,1,Введено изменениями к №430-р
GBR,Великобритания,United Kingdom,state_with_territories,UK and Crown/Overseas territories,Распоряжение Правительства РФ от 05.03.2022 №430-р в ред. от 29.10.2022 №3216-р,1,Включая коронные владения и британские заморские территории
AUT,Австрия,Austria,eu_member,European Union,Государства-члены ЕС в перечне №430-р,1,
BEL,Бельгия,Belgium,eu_member,European Union,Государства-члены ЕС в перечне №430-р,1,
BGR,Болгария,Bulgaria,eu_member,European Union,Государства-члены ЕС в перечне №430-р,1,
HRV,Хорватия,Croatia,eu_member,European Union,Государства-члены ЕС в перечне №430-р,1,
CYP,Кипр,Cyprus,eu_member,European Union,Государства-члены ЕС в перечне №430-р,1,
CZE,Чехия,Czechia,eu_member,European Union,Государства-члены ЕС в перечне №430-р,1,
DNK,Дания,Denmark,eu_member,European Union,Государства-члены ЕС в перечне №430-р,1,
EST,Эстония,Estonia,eu_member,European Union,Государства-члены ЕС в перечне №430-р,1,
FIN,Финляндия,Finland,eu_member,European Union,Государства-члены ЕС в перечне №430-р,1,
FRA,Франция,France,eu_member,European Union,Государства-члены ЕС в перечне №430-р,1,
DEU,Германия,Germany,eu_member,European Union,Государства-члены ЕС в перечне №430-р,1,
GRC,Греция,Greece,eu_member,European Union,Государства-члены ЕС в перечне №430-р,1,
HUN,Венгрия,Hungary,eu_member,European Union,Государства-члены ЕС в перечне №430-р,1,
IRL,Ирландия,Ireland,eu_member,European Union,Государства-члены ЕС в перечне №430-р,1,
ITA,Италия,Italy,eu_member,European Union,Государства-члены ЕС в перечне №430-р,1,
LVA,Латвия,Latvia,eu_member,European Union,Государства-члены ЕС в перечне №430-р,1,
LTU,Литва,Lithuania,eu_member,European Union,Государства-члены ЕС в перечне №430-р,1,
LUX,Люксембург,Luxembourg,eu_member,European Union,Государства-члены ЕС в перечне №430-р,1,
MLT,Мальта,Malta,eu_member,European Union,Государства-члены ЕС в перечне №430-р,1,
NLD,Нидерланды,Netherlands,eu_member,European Union,Государства-члены ЕС в перечне №430-р,1,
POL,Польша,Poland,eu_member,European Union,Государства-члены ЕС в перечне №430-р,1,
PRT,Португалия,Portugal,eu_member,European Union,Государства-члены ЕС в перечне №430-р,1,
ROU,Румыния,Romania,eu_member,European Union,Государства-члены ЕС в перечне №430-р,1,
SVK,Словакия,Slovakia,eu_member,European Union,Государства-члены ЕС в перечне №430-р,1,
SVN,Словения,Slovenia,eu_member,European Union,Государства-члены ЕС в перечне №430-р,1,
ESP,Испания,Spain,eu_member,European Union,Государства-члены ЕС в перечне №430-р,1,
SWE,Швеция,Sweden,eu_member,European Union,Государства-члены ЕС в перечне №430-р,1,
ISL,Исландия,Iceland,state,,Распоряжение Правительства РФ от 05.03.2022 №430-р,1,
CAN,Канада,Canada,state,,Распоряжение Правительства РФ от 05.03.2022 №430-р,1,
LIE,Лихтенштейн,Liechtenstein,state,,Распоряжение Правительства РФ от 05.03.2022 №430-р,1,
FSM,Микронезия,Micronesia,state,,Распоряжение Правительства РФ от 05.03.2022 №430-р,1,
MCO,Монако,Monaco,state,,Распоряжение Правительства РФ от 05.03.2022 №430-р,1,
NZL,Новая Зеландия,New Zealand,state,,Распоряжение Правительства РФ от 05.03.2022 №430-р,1,
NOR,Норвегия,Norway,state,,Распоряжение Правительства РФ от 05.03.2022 №430-р,1,
KOR,Республика Корея,Republic of Korea,state,,Распоряжение Правительства РФ от 05.03.2022 №430-р,1,
SMR,Сан-Марино,San Marino,state,,Распоряжение Правительства РФ от 05.03.2022 №430-р,1,
MKD,Северная Македония,North Macedonia,state,,Распоряжение Правительства РФ от 05.03.2022 №430-р,1,
SGP,Сингапур,Singapore,state,,Распоряжение Правительства РФ от 05.03.2022 №430-р,1,
USA,Соединенные Штаты Америки,United States,state,,Распоряжение Правительства РФ от 05.03.2022 №430-р,1,
TWN,Тайвань (Китай),Taiwan (China),territory_or_state_like,,Распоряжение Правительства РФ от 05.03.2022 №430-р,1,
UKR,Украина,Ukraine,state,,Распоряжение Правительства РФ от 05.03.2022 №430-р,1,
MNE,Черногория,Montenegro,state,,Распоряжение Правительства РФ от 05.03.2022 №430-р,1,
CHE,Швейцария,Switzerland,state,,Распоряжение Правительства РФ от 05.03.2022 №430-р,1,
JPN,Япония,Japan,state,,Распоряжение Правительства РФ от 05.03.2022 №430-р,1,
GGY,Гернси,Guernsey,crown_dependency,UK and Crown/Overseas territories,Распоряжение Правительства РФ от 23.07.2022 №2018-р / №3216-р,1,
JEY,Джерси,Jersey,crown_dependency,UK and Crown/Overseas territories,Распоряжение Правительства РФ от 05.03.2022 №430-р / №3216-р,1,
IMN,Остров Мэн,Isle of Man,crown_dependency,UK and Crown/Overseas territories,Распоряжение Правительства РФ от 23.07.2022 №2018-р / №3216-р,1,
AIA,Ангилья,Anguilla,uk_overseas_territory,UK and Crown/Overseas territories,Распоряжение Правительства РФ от 05.03.2022 №430-р / №3216-р,1,
VGB,Британские Виргинские острова,British Virgin Islands,uk_overseas_territory,UK and Crown/Overseas territories,Распоряжение Правительства РФ от 05.03.2022 №430-р / №3216-р,1,
GIB,Гибралтар,Gibraltar,uk_overseas_territory,UK and Crown/Overseas territories,Распоряжение Правительства РФ от 05.03.2022 №430-р / №3216-р,1,
BMU,Бермуды,Bermuda,uk_overseas_territory,UK and Crown/Overseas territories,Распоряжение Правительства РФ от 29.10.2022 №3216-р,1,
IOT,Британская территория в Индийском океане,British Indian Ocean Territory,uk_overseas_territory,UK and Crown/Overseas territories,Распоряжение Правительства РФ от 29.10.2022 №3216-р,1,
CYM,Острова Кайман,Cayman Islands,uk_overseas_territory,UK and Crown/Overseas territories,Распоряжение Правительства РФ от 29.10.2022 №3216-р,1,
FLK,Фолклендские острова,Falkland Islands,uk_overseas_territory,UK and Crown/Overseas territories,Распоряжение Правительства РФ от 29.10.2022 №3216-р,1,
MSR,Монтсеррат,Montserrat,uk_overseas_territory,UK and Crown/Overseas territories,Распоряжение Правительства РФ от 29.10.2022 №3216-р,1,
PCN,Питкэрн,Pitcairn,uk_overseas_territory,UK and Crown/Overseas territories,Распоряжение Правительства РФ от 29.10.2022 №3216-р,1,
SHN,Острова Святой Елены Вознесения и Тристан-да-Кунья,Saint Helena Ascension and Tristan da Cunha,uk_overseas_territory,UK and Crown/Overseas territories,Распоряжение Правительства РФ от 29.10.2022 №3216-р,1,
SGS,Южная Георгия и Южные Сандвичевы острова,South Georgia and the South Sandwich Islands,uk_overseas_territory,UK and Crown/Overseas territories,Распоряжение Правительства РФ от 29.10.2022 №3216-р,1,
