model,factor_key,factor_name_en,factor_name_ru,input_key,official_indicator_code,official_indicator_name_en,official_indicator_name_ru,source_name,year,unit,normalization_method,observation_status,within_factor_weight,factor_weight,scoring_role,notes
BRANCH_INDEX_MGIMO_V3,I_ECO,Economic context,Экономический контекст,gdpGrowthReal,NY.GDP.MKTP.KD.ZG,Gdp growth real,"Рост ВВП, годовой процент",World Bank World Development Indicators,2026,%,"robust_norm(raw, positive=True)",official_or_reference,0.17,0.14,direct_factor_formula_component,World Bank WDI real GDP growth
BRANCH_INDEX_MGIMO_V3,I_ECO,Economic context,Экономический контекст,gdpPcPppCurrent,NY.GDP.PCAP.PP.CD,Gdp pc ppp current,ВВП на душу населения по ППС,World Bank World Development Indicators,2026,international USD,"robust_norm(log1p(raw), positive=True)",official_or_reference,0.25,0.14,direct_factor_formula_component,World Bank WDI GDP per capita PPP
BRANCH_INDEX_MGIMO_V3,I_ECO,Economic context,Экономический контекст,gdpPppCurrent,NY.GDP.MKTP.PP.CD,Gdp ppp current,"ВВП по ППС, текущие международные доллары",World Bank World Development Indicators,2026,international USD,"robust_norm(log1p(raw), positive=True)",official_or_reference,0.15,0.14,direct_factor_formula_component,World Bank WDI GDP PPP
BRANCH_INDEX_MGIMO_V3,I_ECO,Economic context,Экономический контекст,programFit,not_applicable_modelled_component,Program fit,Соответствие программ,World Bank World Development Indicators,2026,0-1,prepared_0_1_score,official_or_reference,0.18,0.14,direct_factor_formula_component,Derived/modelled component; see evidence rows for official source inputs and normalization.
BRANCH_INDEX_MGIMO_V3,I_ECO,Economic context,Экономический контекст,sectorDepthScore,not_applicable_modelled_component,Sector depth score,Глубина отраслевого спроса,World Bank World Development Indicators,2026,0-1,mean(normalized sector depth indicators),official_or_reference,0.07,0.14,direct_factor_formula_component,Derived/modelled component; see evidence rows for official source inputs and normalization.
BRANCH_INDEX_MGIMO_V3,I_ECO,Economic context,Экономический контекст,tradePercentGdp,NE.TRD.GNFS.ZS,Trade percent gdp,"Торговля товарами и услугами, процент ВВП",World Bank World Development Indicators,2026,%,"robust_norm(raw, positive=True)",official_or_reference,0.08,0.14,direct_factor_formula_component,World Bank WDI trade share
BRANCH_INDEX_MGIMO_V3,I_FEAS,Operational feasibility,Операционная реализуемость,governmentEffectiveness,GE.EST,Government effectiveness,Эффективность государственного управления,"World Bank WGI, LPI and WDI operational indicators",2026,0-1,"robust_norm(raw, positive=True)",official_or_reference,0.12,0.14,direct_factor_formula_component,World Bank Worldwide Governance Indicators
BRANCH_INDEX_MGIMO_V3,I_FEAS,Operational feasibility,Операционная реализуемость,internetUsersPct,IT.NET.USER.ZS,Internet users pct,"Пользователи интернета, процент населения","World Bank WGI, LPI and WDI operational indicators",2026,%,"robust_norm(raw, positive=True)",official_or_reference,0.11,0.14,direct_factor_formula_component,World Bank WDI internet users
BRANCH_INDEX_MGIMO_V3,I_FEAS,Operational feasibility,Операционная реализуемость,partnerUniversitiesMgimoCount,MGIMO_PARTNER_UNIVERSITIES.COUNT,Partner universities mgimo count,Партнёрские университеты МГИМО,"World Bank WGI, LPI and WDI operational indicators",2026,count,"robust_norm(log1p(raw), positive=True)",official_or_reference,0.07,0.14,direct_factor_formula_component,MGIMO partner registry
BRANCH_INDEX_MGIMO_V3,I_FEAS,Operational feasibility,Операционная реализуемость,politicalStability,PV.EST,Political stability,Политическая стабильность и отсутствие насилия/терроризма,"World Bank WGI, LPI and WDI operational indicators",2026,0-1,"robust_norm(raw, positive=True)",official_or_reference,0.15,0.14,direct_factor_formula_component,World Bank Worldwide Governance Indicators
