iso3,country,DATAQ,latest_observation_lag_years,platform_data_coverage_pct
VNM,Viet Nam,0.7473684210526315,2,100.0
CHN,China,0.7473684210526315,2,100.0
TUR,Türkiye,0.7473684210526315,2,100.0
SAU,Saudi Arabia,0.7473684210526315,2,100.0
BRA,Brazil,0.7473684210526315,2,100.0
IDN,Indonesia,0.7473684210526315,2,100.0
IND,India,0.7473684210526315,2,100.0
MEX,Mexico,0.7473684210526315,2,100.0
PHL,Philippines,0.7473684210526315,2,100.0
THA,Thailand,0.7473684210526315,2,100.0
MYS,Malaysia,0.7473684210526315,2,100.0
ARG,Argentina,0.7473684210526315,2,100.0
ARE,United Arab Emirates,0.7473684210526315,2,100.0
CHL,Chile,0.7473684210526315,2,100.0
GEO,Georgia,0.7473684210526315,2,100.0
EGY,"Egypt, Arab Rep.",0.7473684210526315,2,100.0
DOM,Dominican Republic,0.7473684210526315,2,100.0
MNG,Mongolia,0.7473684210526315,2,100.0
COL,Colombia,0.7473684210526315,2,100.0
PER,Peru,0.7473684210526315,2,100.0
MAR,Morocco,0.7473684210526315,2,100.0
CRI,Costa Rica,0.7473684210526315,2,100.0
IRN,"Iran, Islamic Rep.",0.7473684210526315,2,100.0
ARM,Armenia,0.7473684210526315,2,100.0
KGZ,Kyrgyz Republic,0.7473684210526315,2,100.0
JOR,Jordan,0.7473684210526315,2,100.0
SRB,Serbia,0.7473684210526315,2,100.0
OMN,Oman,0.7473684210526315,2,100.0
BHR,Bahrain,0.7473684210526315,2,100.0
DZA,Algeria,0.7473684210526315,2,100.0
URY,Uruguay,0.7473684210526315,2,100.0
ZAF,South Africa,0.7473684210526315,2,100.0
ISR,Israel,0.7473684210526315,2,100.0
MUS,Mauritius,0.7473684210526315,2,100.0
KHM,Cambodia,0.7473684210526315,2,100.0
PAN,Panama,0.7473684210526315,2,100.0
BLR,Belarus,0.7473684210526315,2,100.0
PRY,Paraguay,0.7473684210526315,2,100.0
AZE,Azerbaijan,0.7473684210526315,2,100.0
TUN,Tunisia,0.7473684210526315,2,100.0
CUB,Cuba,0.7473684210526315,2,93.33333333333331
GHA,Ghana,0.7473684210526315,2,100.0
FJI,Fiji,0.7473684210526315,2,93.33333333333331
NAM,Namibia,0.7473684210526315,2,100.0
VEN,"Venezuela, RB",0.7473684210526315,2,93.33333333333331
GUY,Guyana,0.7473684210526315,2,100.0
MDV,Maldives,0.7473684210526315,2,100.0
BRN,Brunei Darussalam,0.7473684210526315,2,100.0
KWT,Kuwait,0.7473684210526315,2,100.0
BGD,Bangladesh,0.7473684210526315,2,100.0
MDA,Moldova,0.7473684210526315,2,100.0
SLV,El Salvador,0.7473684210526315,2,100.0
GTM,Guatemala,0.7473684210526315,2,100.0
QAT,Qatar,0.7473684210526315,2,100.0
SEN,Senegal,0.7473684210526315,2,100.0
CHI,Channel Islands,0.7473684210526315,2,40.0
CPV,Cabo Verde,0.7473684210526315,2,100.0
ECU,Ecuador,0.7473684210526315,2,100.0
BIH,Bosnia and Herzegovina,0.7473684210526315,2,100.0
CIV,Côte d'Ivoire,0.7473684210526315,2,100.0
BWA,Botswana,0.7473684210526315,2,100.0
LKA,Sri Lanka,0.7473684210526315,2,100.0
GRD,Grenada,0.7473684210526315,2,93.33333333333331
NGA,Nigeria,0.7473684210526315,2,100.0
RWA,Rwanda,0.7473684210526315,2,100.0
HND,Honduras,0.7473684210526315,2,100.0
TJK,Tajikistan,0.7473684210526315,2,100.0
DJI,Djibouti,0.7473684210526315,2,100.0
NIC,Nicaragua,0.7473684210526315,2,100.0
LBY,Libya,0.7473684210526315,2,100.0
MRT,Mauritania,0.7473684210526315,2,100.0
TTO,Trinidad and Tobago,0.7473684210526315,2,93.33333333333331
PAK,Pakistan,0.7473684210526315,2,100.0
BEN,Benin,0.7473684210526315,2,100.0
KEN,Kenya,0.7473684210526315,2,100.0
JAM,Jamaica,0.7473684210526315,2,93.33333333333331
SYC,Seychelles,0.7473684210526315,2,100.0
AGO,Angola,0.7473684210526315,2,100.0
LAO,Lao PDR,0.7473684210526315,2,100.0
