iso3,country,recommended_format,capacity_students,capex_usd,capex_base_usd_for_diag,cost_factor,risk_premium,capex_rub,avg_tuition_usd,students_year_1,students_year_10,capture_ceiling,demand_pool_students,host_subsidy_share,annual_revenue_year_10_usd,annual_opex_year_10_usd,cashflow_year_10_usd,npv_10y_usd,npv_10y_rub,npv_expected_usd,npv_expected_rub,npv_p10_usd,npv_p90_usd,npv_positive_probability,payback_years,margin_year_10,breakeven_students,discount_rate
ABW,Aruba,partner_embedded_branch,600,2174748.3719730983,1897298.6750924117,0.9494327465235437,0.04203096775192875,159776370.66565436,6403.375760580152,25.0,0.14898615568484513,0.00017331284701513632,860.0848780240997,0.08,120915.85376445539,712556.9893989426,-534636.5764825718,-5596548.118529596,-411172234.0654391,-5638500.512236143,-414254430.28342605,-6046664.518111099,-5255489.228369234,0.0,inf,-560.4072760769574,155.50619263221503,0.11
AFG,Afghanistan,partner_embedded_branch,600,1744435.5143212103,1314180.491683031,0.45,0.20672196673212384,128161758.35811357,4473.247185451126,25.0,1.7163134800696829,0.00011045350648313662,15546.880492511755,0.08,127370.39466631059,392252.27998015983,-233501.70291543644,-3428535.4244768345,-251890726.24734613,-3537853.4471700676,-259922201.124793,-3876199.59107833,-3172503.8475189647,0.0,inf,-30.413789891529348,110.07827385651935,0.11
AGO,Angola,partner_embedded_branch,600,1708211.3898808467,1358430.631959319,0.4981101669694825,0.14317169298986301,125500411.78201695,5079.941036774271,25.0,7.3425667710985465,0.00011514303510089556,63802.307503174765,0.08,155807.81400552831,416021.0406809311,-226931.54342092833,-3390708.7076043175,-249111638.96811086,-3450185.195627591,-253481311.11904395,-3744626.0171585386,-3182884.288905699,0.0,inf,-6.083987189233529,101.10981762337636,0.11
ALB,Albania,partner_embedded_branch,600,1849437.553141716,1543103.0640134448,0.6565699986076782,0.08956226301538853,135876142.6480134,5637.863818303193,25.0,7.716964111681711,9.199164585485002e-05,83931.35719550088,0.08,161766.90504229878,523429.30306941736,-319788.05378156516,-4079853.3882701774,-299742340.59748286,-4110650.017506165,-302004935.0711587,-4631450.70772605,-3590614.4255510443,0.0,inf,-7.350234146374903,118.98086396843557,0.11
AND,Andorra,partner_embedded_branch,600,2171984.8988264306,1933459.4039785601,0.9825189393084963,0.021242919371758876,159573341.33338916,6747.260949044274,25.0,0.3683467399945292,0.00010640070246616587,3463.685804233754,0.08,122385.91831149394,723038.3147602234,-542809.3312679116,-5637903.684228898,-414210581.9862445,-5564121.359880867,-408789875.7769515,-5971431.24275788,-5102013.249946195,0.0,inf,-218.40519665189686,148.7663287242505,0.11
ARE,United Arab Emirates,partner_embedded_branch,600,2210941.8253280874,1940787.478159924,0.985503016123532,0.03563483202203647,162435463.87084675,6819.488953702283,25.0,86.6736048042813,0.00016567684982780003,523421.05145924253,0.08,687426.9029187392,875785.5136757344,-118295.76966293645,-4055308.436992449,-297939050.0265546,-4199531.335590083,-308534947.74133426,-4919696.322109088,-3321983.943893368,0.0,inf,-0.200138446542219,149.34010221809632,0.11
ARG,Argentina,partner_embedded_branch,600,1943526.264981255,1608737.7684907122,0.707334520287245,0.0982784725266234,142788736.80928132,5777.889732991785,38.826110877964645,295.676442691072,0.00012766592179118294,2317223.3363430025,0.08,1760050.4472117876,904416.7544239897,927987.0331417171,630531.8245091003,46324479.561676644,1097103.6066494626,80602995.16656871,-966693.8032781258,3875461.436683445,0.5,6.0,0.5431952128854279,127.71097366030845,0.11
ARM,Armenia,partner_embedded_branch,600,1832823.422996349,1503853.116853482,0.6214912897751969,0.10795601853794477,134655520.78177646,5674.776628672101,25.0,9.27220555117068,0.00015682208724652452,59156.43246677993,0.08,170512.98754370603,505289.49251088954,-294353.3455663123,-3926973.537585729,-288510426.13553214,-3783217.5273521566,-277948830.1952829,-3914258.5726775406,-3598784.321135374,0.0,inf,-5.594189246857754,112.10872516716893,0.11
ASM,American Samoa,partner_embedded_branch,600,1834143.8762090353,1550983.4843069597,0.6657743723299475,0.07506207557810135,134752533.026814,5347.104050964543,25.0,0.047348313514121304,0.00014029896687304253,337.65734085083204,0.08,120243.0493046378,515391.1340149162,-353916.7939890851,-4203761.873099922,-308845760.6785909,-4337923.01017012,-318702431.84188753,-4779530.030146565,-3889020.9973636945,0.0,inf,-1397.9061686099378,127.72699831400179,0.11
ATG,Antigua and Barbuda,partner_embedded_branch,600,2103894.356461338,1764257.114179871,0.8345856804991884,0.08410005422354343,154570804.0854224,5920.888112739244,25.0,0.15788552830980848,0.00014867664638420502,1062.4921318487234,0.08,120897.42964583337,651654.9735198123,-478625.14599239395,-5202327.911927188,-382209309.12858737,-5085813.0949296625,-373649093.6900779,-5488078.406770148,-4803680.702129684,0.0,inf,-511.99572276890075,151.2513674498982,0.11
AUS,Australia,partner_embedded_branch,600,2288388.7110643648,2040526.240098846,1.0685173781177977,0.019518069806395377,168125401.37431672,6596.872082146615,25.152472326667475,191.54618822910376,0.00010055742719681073,1905835.9510483884,0.08,1333061.473507368,1122054.6088009214,300771.23341052025,-2609638.600976059,-191727277.41125,-2494433.31502581,-183263271.77829975,-3875367.537601845,-1257946.2326803668,0.0,inf,0.23802617623264716,171.6319673619835,0.11
