iso3,country,format,capacity_students,capex_usd,capex_base_usd_for_diag,cost_factor,risk_premium,capex_rub,avg_tuition_usd,students_year_1,students_year_10,capture_ceiling,demand_pool_students,host_subsidy_share,annual_revenue_year_10_usd,annual_opex_year_10_usd,cashflow_year_10_usd,npv_10y_usd,npv_10y_rub,npv_expected_usd,npv_expected_rub,npv_p10_usd,npv_p90_usd,npv_positive_probability,payback_years,margin_year_10,breakeven_students,discount_rate
ARE,United Arab Emirates,partner_embedded_branch,600,2210941.8253280874,1940787.478159924,0.985503016123532,0.03563483202203647,162435463.87084675,6819.488953702283,25.0,86.6736048042813,0.00016567684982780003,523421.05145924253,0.08,687426.9029187392,875785.5136757344,-118295.76966293645,-4055308.436992449,-297939050.0265546,-4199531.335590083,-308534947.74133426,-4919696.322109088,-3321983.943893368,0.0,inf,-0.200138446542219,149.34010221809632,0.11
ARE,United Arab Emirates,urban_standard_branch,1400,7910837.847940116,6944214.841454486,0.985503016123532,0.03563483202203647,581200554.7665277,6819.488953702283,40.0,86.4463488468277,0.00016567684982780003,523421.05145924253,0.0,885939.1242068822,2075574.2160836775,-1189635.0918767953,-16712520.629273038,-1227850506.859998,-16635521.088704327,-1222193435.3139095,-18097796.866301075,-15616562.184199942,0.0,inf,-2.017972674715171,431.2218798996558,0.11
ARE,United Arab Emirates,flagship_regional_hub,2500,29894715.304459997,26241888.620222818,0.985503016123532,0.03563483202203647,2196331849.231841,6819.488953702283,75.0,85.33936851812196,0.00016567684982780003,523421.05145924253,0.0,1508692.0456882506,5976195.838850634,-4467503.793162383,-59849286.51521635,-4397061246.057779,-60263537.89980711,-4427495839.607139,-69130902.42652096,-54263080.80504743,0.0,inf,-7.676507432914186,1636.8991532777275,0.11
SAU,Saudi Arabia,partner_embedded_branch,600,2155765.5226530023,1837054.1347091307,0.8962814038639384,0.06680951951683137,158381721.60724118,6563.157695394815,38.49977375655967,293.1912543218751,0.00013847921441420379,2118324.9170561926,0.08,1967290.01954407,1122026.3882317254,935025.7423708825,220658.80617088272,16211559.764687967,-214695.33798497496,-15773430.316884328,-2329892.154343322,1572293.088427641,0.5,7.0,0.48591434110470116,142.7767650688061,0.11
SAU,Saudi Arabia,urban_standard_branch,1400,7624647.006030869,6497408.535826736,0.8962814038639384,0.06680951951683137,560174428.4213814,6563.157695394815,40.0,292.42251441116764,0.00013847921441420379,2118324.9170561926,0.0,2162446.4727337817,2345503.1333680255,-183056.66063424386,-12717868.229725534,-934367789.1828823,-12019347.891756143,-883048268.324643,-13645433.296719046,-9417514.656210931,0.0,inf,-0.0953810039040772,408.63375802211124,0.11
SAU,Saudi Arabia,flagship_regional_hub,2500,28643449.458964005,24408761.856514588,0.8962814038639384,0.06680951951683137,2104402723.9556808,6563.157695394815,75.0,288.67792628868483,0.00013847921441420379,2118324.9170561926,0.0,2768853.2032757113,6156588.226144087,-3387735.0228683753,-54382888.07134299,-3995450965.424691,-53726883.42269665,-3947255025.493758,-56320805.05953208,-51479107.95715657,0.0,inf,-1.7880638284037766,1520.2336223898521,0.11
MYS,Malaysia,partner_embedded_branch,600,1857863.0671324236,1593265.073518148,0.7025988222554103,0.06006618279554065,136495155.89284533,6067.290267821616,25.0,123.65426624678966,0.0001534985082205195,805992.6844053838,0.08,840236.4731268191,679607.8151349082,214997.28320270358,-2049963.071237041,-150608531.88440704,-2062853.0497542962,-151555544.42709342,-2886352.833389196,-1477393.0440297676,0.0,inf,0.28656892503450465,114.94559463368466,0.11
MYS,Malaysia,urban_standard_branch,1400,6397717.048884458,5486550.276265681,0.7025988222554103,0.06006618279554065,470033234.0927874,6067.290267821616,40.0,123.33004794835162,0.0001534985082205195,805992.6844053838,0.0,1038348.0316611268,1568515.7175200034,-530167.6858588767,-11692136.673651855,-859008420.0628608,-11171683.565421836,-820771302.6996204,-11967224.58906184,-9811231.14464516,0.0,inf,-0.7085158669504348,322.0192932334546,0.11
MYS,Malaysia,flagship_regional_hub,2500,23709363.321229998,20332661.304997817,0.7025988222554103,0.06006618279554065,1741900842.9111147,6067.290267821616,75.0,121.75075699114687,0.0001534985082205195,805992.6844053838,0.0,1659149.295672608,4436067.017910759,-2776917.722238151,-44133075.891060695,-3242408539.3327494,-42929125.76486675,-3153955647.906419,-45861000.21954618,-38757075.98020533,0.0,inf,-3.759209844268618,1143.792298629718,0.11
TUR,Türkiye,partner_embedded_branch,600,1974475.6285581803,1620404.8208138875,0.7147770158755772,0.10773420387766383,145062552.5069781,6053.501444306604,95.34942465036282,600.0,0.0001402107209809233,5181504.059417091,0.08,3606816.8319206038,1277712.9687311305,2431320.9006879637,7563513.303513441,555683002.5444987,8309879.641414827,610517716.3871418,6355609.617803683,10635808.720148845,1.0,4.0,0.6693979572694665,123.07561947475712,0.11
