iso3,name,reason,source_note,hard_exclude
ABW,Aruba,territory_or_special_case,Manual analytical exclusion from sovereign-country ranking. Kept in master panel for transparency.,1
ASM,American Samoa,territory_or_special_case,Manual analytical exclusion from sovereign-country ranking. Kept in master panel for transparency.,1
BMU,Bermuda,territory_or_special_case,Manual analytical exclusion from sovereign-country ranking. Kept in master panel for transparency.,1
CUW,Curaçao,territory_or_special_case,Manual analytical exclusion from sovereign-country ranking. Kept in master panel for transparency.,1
CYM,Cayman Islands,territory_or_special_case,Manual analytical exclusion from sovereign-country ranking. Kept in master panel for transparency.,1
FRO,Faroe Islands,territory_or_special_case,Manual analytical exclusion from sovereign-country ranking. Kept in master panel for transparency.,1
GIB,Gibraltar,territory_or_special_case,Manual analytical exclusion from sovereign-country ranking. Kept in master panel for transparency.,1
GRL,Greenland,territory_or_special_case,Manual analytical exclusion from sovereign-country ranking. Kept in master panel for transparency.,1
GUM,Guam,territory_or_special_case,Manual analytical exclusion from sovereign-country ranking. Kept in master panel for transparency.,1
HKG,"Hong Kong SAR, China",territory_or_special_case,Manual analytical exclusion from sovereign-country ranking. Kept in master panel for transparency.,1
IMN,Isle of Man,territory_or_special_case,Manual analytical exclusion from sovereign-country ranking. Kept in master panel for transparency.,1
MAC,"Macao SAR, China",territory_or_special_case,Manual analytical exclusion from sovereign-country ranking. Kept in master panel for transparency.,1
MAF,St. Martin (French part),territory_or_special_case,Manual analytical exclusion from sovereign-country ranking. Kept in master panel for transparency.,1
MNP,Northern Mariana Islands,territory_or_special_case,Manual analytical exclusion from sovereign-country ranking. Kept in master panel for transparency.,1
NCL,New Caledonia,territory_or_special_case,Manual analytical exclusion from sovereign-country ranking. Kept in master panel for transparency.,1
PRI,Puerto Rico (US),territory_or_special_case,Manual analytical exclusion from sovereign-country ranking. Kept in master panel for transparency.,1
PSE,West Bank and Gaza,territory_or_special_case,Manual analytical exclusion from sovereign-country ranking. Kept in master panel for transparency.,1
PYF,French Polynesia,territory_or_special_case,Manual analytical exclusion from sovereign-country ranking. Kept in master panel for transparency.,1
SXM,Sint Maarten (Dutch part),territory_or_special_case,Manual analytical exclusion from sovereign-country ranking. Kept in master panel for transparency.,1
TCA,Turks and Caicos Islands,territory_or_special_case,Manual analytical exclusion from sovereign-country ranking. Kept in master panel for transparency.,1
VGB,British Virgin Islands,territory_or_special_case,Manual analytical exclusion from sovereign-country ranking. Kept in master panel for transparency.,1
VIR,Virgin Islands (US),territory_or_special_case,Manual analytical exclusion from sovereign-country ranking. Kept in master panel for transparency.,1
XKX,Kosovo,territory_or_special_case,Manual analytical exclusion from sovereign-country ranking. Kept in master panel for transparency.,1
