rank_eligible,iso3,country,region,income_group,eligible,exclusion_reason,recommendation_category,PRIORITY,rank_median_mc,rank_q25_mc,rank_q75_mc,p_top5_mc,p_top10_mc,p_top20_mc,I_MARKET,I_PROGRAM,I_DEM,I_ECO,I_RUSCOMP,I_RUSCOMP_GRADED,I_FIN,I_FEAS,I_HRSTRAT,I_PARTNERSHIP,PROGRAM_FIT,recommended_program_profile,I_PROFILE_DIPLO_ANALYTIC,I_PROFILE_ECON_LEGAL,I_PROFILE_DIGITAL_FINANCE,I_PROFILE_ENERGY_LOGISTICS,addressable_market_students_2026,addressable_market_students_2035,addressable_market_students_2050,DATAQ,IMPUTED_SHARE_KEY,recommended_format,capex_usd,capex_rub,npv_10y_usd,npv_10y_rub,npv_expected_usd,npv_expected_rub,npv_p10_usd,npv_p90_usd,npv_positive_probability,payback_years,students_year_10,avg_tuition_usd,host_subsidy_share,demand_pool_students,is_unfriendly,is_domestic_russia,is_non_sovereign_or_special,has_existing_mgimo_branch,has_mgimo_pipeline,mgimo_pipeline_status_label,mgimo_pipeline_stage,mgimo_presence_type,partner_universities_mgimo_count,platform_data_coverage_pct,top_strengths,main_weaknesses
1.0,VNM,Viet Nam,East Asia & Pacific,Lower middle income,True,,neutral_in_preparation,80.38224626694874,1.0,1.0,1.0,1.0,1.0,1.0,0.7902073498591018,0.8190688663800925,0.7902073498591018,0.7309318801358704,0.7929056123055176,0.7929056123055176,0.9299999999999999,0.519808666346423,0.6749893805625682,0.5,0.8190688663800925,digital_finance_business_informatics,0.4592542498095345,0.4789220785758553,0.635347449250511,0.9239125909653574,1158657.1447716802,1306524.9704126506,1006972.7709199325,0.7473684210526315,0.25263157894736854,partner_embedded_branch,1735881.7706997597,127533324.22336358,724769.1814428854,53247994.51450921,1261609.7417946241,92689079.95893507,170619.41492948445,2327583.1201443546,0.9,6.0,258.1533608014093,5489.373661609645,0.08,1158657.1447716802,False,False,False,False,True,В подготовке,planned_first_program,branch_pipeline,3.0,100.0,I_FIN=0.93; I_PROGRAM=0.82; I_RUSCOMP=0.79,I_FEAS=0.52; I_HRSTRAT=0.67; I_ECO=0.73
2.0,CHN,China,East Asia & Pacific,Upper middle income,True,,A_open_priority,76.21954369266368,2.0,2.0,2.0,1.0,1.0,1.0,0.8458964440894422,0.5652536283048547,0.8458964440894422,0.6394646381863845,0.7412886293989794,0.7412886293989794,1.0,0.5716862447190245,0.4563605547374491,0.5,0.5652536283048547,digital_finance_business_informatics,0.512694542907245,0.3953139753244509,0.6238191044328291,0.29412906788994053,40042687.00524328,41080277.68625977,19937717.31681206,0.7473684210526315,0.25263157894736854,urban_standard_branch,6621112.197425964,486445829.92146844,14160868.77555516,1040383451.9843845,14143514.402516266,1039108445.2870274,11924304.976785066,17539479.70248849,1.0,3.0,1400.0,5720.949103829381,0.0,40042687.00524328,False,False,False,False,False,,,,0.0,100.0,I_FIN=1.00; I_MARKET=0.85; I_RUSCOMP=0.74,I_HRSTRAT=0.46; I_PROGRAM=0.57; I_FEAS=0.57
3.0,TUR,Türkiye,Europe & Central Asia,Upper middle income,True,,A_open_priority,75.69950238081866,3.0,3.0,3.0,0.994,1.0,1.0,0.8591285530641766,0.5698097284634696,0.8591285530641766,0.6500958551568061,0.7428996215512674,0.7428996215512674,1.0,0.5102990732833462,0.4659887392076695,0.5,0.5698097284634696,digital_finance_business_informatics,0.5353755707969705,0.43427885734866356,0.6234378261742245,0.28776650511126883,5181504.059417091,5151300.528549127,3825178.599583105,0.7473684210526315,0.25263157894736854,partner_embedded_branch,1974475.6285581803,145062552.5069781,7563513.303513441,555683002.5444987,8309879.641414827,610517716.3871418,6355609.617803683,10635808.720148845,1.0,4.0,600.0,6053.501444306604,0.08,5181504.059417091,False,False,False,False,False,,,,0.0,100.0,I_FIN=1.00; I_MARKET=0.86; I_RUSCOMP=0.74,I_HRSTRAT=0.47; I_FEAS=0.51; I_PROGRAM=0.57
4.0,SAU,Saudi Arabia,Middle East & North Africa,High income,True,,A_open_priority,73.39919974824426,4.0,4.0,5.0,0.879,1.0,1.0,0.8885517380492359,0.550749959665261,0.8885517380492359,0.6354038462125837,0.7397854928507883,0.7397854928507883,0.6301699824091219,0.6963203658325847,0.45592080736885066,0.5,0.550749959665261,digital_finance_business_informatics,0.5548085172035764,0.4987242174521772,0.59472855666153,0.22804039822861844,2118324.9170561926,2321360.5921713132,2607379.0489481078,0.7473684210526315,0.25263157894736854,partner_embedded_branch,2155765.5226530023,158381721.60724118,220658.80617088272,16211559.764687967,-214695.33798497496,-15773430.316884328,-2329892.154343322,1572293.088427641,0.5,7.0,293.1912543218751,6563.157695394815,0.08,2118324.9170561926,False,False,False,False,False,,,,0.0,100.0,I_MARKET=0.89; I_RUSCOMP=0.74; I_FEAS=0.70,I_HRSTRAT=0.46; I_PROGRAM=0.55; I_FIN=0.63
5.0,BRA,Brazil,Latin America & Caribbean,Upper middle income,True,,A_open_priority,73.02874452478801,5.0,4.0,5.0,0.934,1.0,1.0,0.8402771867927563,0.5116577487325465,0.8402771867927563,0.5837403312255262,0.730165494495484,0.730165494495484,1.0,0.52717604619986,0.4083309968519101,0.5,0.5116577487325465,digital_finance_business_informatics,0.4411029097198089,0.38336647589657835,0.5701444886715535,0.21754419538105058,5527767.533165593,5197690.162507579,4329405.007767758,0.7473684210526315,0.25263157894736854,partner_embedded_branch,1879179.5139668381,138061251.79367825,7012640.945108274,515211016.3320653,6127153.971945341,450155262.4494551,3770140.5275145937,8402172.336106846,1.0,4.0,600.0,5559.251244264256,0.08,5527767.533165593,False,False,False,False,False,,,,0.0,100.0,I_FIN=1.00; I_MARKET=0.84; I_RUSCOMP=0.73,I_HRSTRAT=0.41; I_PROGRAM=0.51; I_FEAS=0.53
6.0,IDN,Indonesia,East Asia & Pacific,Upper middle income,True,,A_open_priority,71.37852896112831,6.0,6.0,7.0,0.081,0.94,1.0,0.8516311035667543,0.4289149917586723,0.8516311035667543,0.551649043464352,0.7183125776007384,0.7183125776007384,1.0,0.5578172170399862,0.3785089868739253,0.5,0.4289149917586723,digital_finance_business_informatics,0.3672125449672645,0.3291049607346231,0.46129198319861764,0.3175356845803043,3844007.5208474323,3890691.59767757,3522552.960054951,0.7473684210526315,0.25263157894736854,partner_embedded_branch,1721044.852089301,126443272.13366365,4580875.403643986,336551876.94277966,3623542.461174199,266217678.72576112,2457626.8418339947,5191788.849387663,1.0,4.0,489.55597118144317,5355.095315135381,0.08,3844007.5208474323,False,False,False,False,False,,,,0.0,100.0,I_FIN=1.00; I_MARKET=0.85; I_RUSCOMP=0.72,I_HRSTRAT=0.38; I_PROGRAM=0.43; I_ECO=0.55
7.0,IND,India,South Asia,Lower middle income,True,,A_open_priority,71.20497466817474,7.0,6.0,7.0,0.04,0.951,1.0,0.824198180193429,0.46170247988306873,0.824198180193429,0.5711425813257636,0.7262041401794135,0.7262041401794135,1.0,0.4966981126663463,0.41694910159255416,0.5,0.46170247988306873,digital_finance_business_informatics,0.3567685968764032,0.33476691233992334,0.4975168961480083,0.3917075647712461,10621302.750913672,9911628.88202456,8999938.18626319,0.7473684210526315,0.25263157894736854,partner_embedded_branch,1667963.3077023032,122543429.45724975,8946007.262011614,657253312.932005,8771089.51398499,644402298.3940119,7961056.420490162,10179405.241457071,1.0,2.0,600.0,5131.718318167629,0.08,10621302.750913672,False,False,False,False,False,,,,0.0,100.0,I_FIN=1.00; I_MARKET=0.82; I_RUSCOMP=0.73,I_HRSTRAT=0.42; I_PROGRAM=0.46; I_FEAS=0.50
8.0,MEX,Mexico,Latin America & Caribbean,Upper middle income,True,,A_open_priority,70.8022227881451,8.0,8.0,8.0,0.0,0.998,1.0,0.8378799091177936,0.5072529696093646,0.8378799091177936,0.5686790997798613,0.7326897437904238,0.7326897437904238,0.8599999999999999,0.49970105651984165,0.4330370569123945,0.5,0.5072529696093646,digital_finance_business_informatics,0.41375646211652073,0.4228264231461593,0.5552968658921675,0.2802346120389324,2766445.3420121446,2659985.9976002662,2331416.3384563033,0.7473684210526315,0.25263157894736854,partner_embedded_branch,1974471.6706803686,145062261.72604895,1701214.415344336,124986351.7594915,2272807.486749866,166980665.96327725,-428934.01264559524,5269511.155211756,0.8,6.0,372.01583128294016,5637.527377821153,0.08,2766445.3420121446,False,False,False,False,False,,,,0.0,100.0,I_FIN=0.86; I_MARKET=0.84; I_RUSCOMP=0.73,I_HRSTRAT=0.43; I_FEAS=0.50; I_PROGRAM=0.51
9.0,PHL,Philippines,East Asia & Pacific,Lower middle income,True,,A_open_priority,69.0313710650312,9.0,9.0,9.0,0.0,0.861,1.0,0.787107524183561,0.5322055015335618,0.787107524183561,0.5906538023105271,0.7416370638375912,0.7416370638375912,0.7077177744144257,0.49435811441591027,0.48680428070195747,0.5,0.5322055015335618,digital_finance_business_informatics,0.430623591707961,0.4269975819619459,0.5678518476043667,0.43854755690542324,1520197.0394094791,1522492.6160096806,1212800.86091956,0.7473684210526315,0.25263157894736854,partner_embedded_branch,1679413.4823763913,123384661.19536287,-115064.10555643757,-8453633.264715357,-58415.43604057746,-4291717.828921582,-1431512.1378783954,802377.0621306093,0.6,7.0,208.30621568868278,5175.022721517766,0.08,1520197.0394094791,False,False,False,False,False,,,,0.0,100.0,I_MARKET=0.79; I_RUSCOMP=0.74; I_FIN=0.71,I_HRSTRAT=0.49; I_FEAS=0.49; I_PROGRAM=0.53
10.0,THA,Thailand,East Asia & Pacific,Upper middle income,True,,B_strategic_with_subsidy,67.02326061545864,10.0,10.0,10.0,0.0,0.805,1.0,0.7427111818236969,0.6370168021995813,0.7427111818236969,0.642498584291074,0.7671139843168407,0.7671139843168407,0.3837111257547081,0.5931722503731042,0.6117692008073538,0.5,0.6370168021995813,digital_finance_business_informatics,0.5706719830606207,0.5880162963394429,0.6582287035376625,0.5735761016348528,1257900.946740161,1101276.167099787,852234.8926015744,0.7473684210526315,0.25263157894736854,partner_embedded_branch,1799129.822859097,132180089.04265273,-783787.6700114361,-57584017.9493032,-969589.8208950507,-71234697.5923564,-1935785.2877079789,521781.001175769,0.2,9.0,185.07871311989368,5686.184142292818,0.08,1257900.946740161,False,False,False,False,False,,,,0.0,100.0,I_RUSCOMP=0.77; I_MARKET=0.74; I_ECO=0.64,I_FIN=0.38; I_FEAS=0.59; I_HRSTRAT=0.61
