iso3,country,model,student_attraction_index,rank_practical_student_recruitment,rank_reference_all,student_recruitment_status
NGA,Nigeria,SAI_MGIMO_V3,72.32919317075454,1.0,1.0,practical_priority_pool
GNQ,Equatorial Guinea,SAI_MGIMO_V3,71.34140402871041,2.0,2.0,practical_priority_pool
COD,"Congo, Dem. Rep.",SAI_MGIMO_V3,70.31333794542492,3.0,3.0,practical_priority_pool
EGY,"Egypt, Arab Rep.",SAI_MGIMO_V3,69.95294946432622,4.0,4.0,practical_priority_pool
ARE,United Arab Emirates,SAI_MGIMO_V3,68.61664641924182,5.0,5.0,practical_priority_pool
DJI,Djibouti,SAI_MGIMO_V3,68.61476962194496,6.0,6.0,practical_priority_pool
TZA,Tanzania,SAI_MGIMO_V3,68.5578801610842,7.0,7.0,practical_priority_pool
MWI,Malawi,SAI_MGIMO_V3,68.24095343481251,8.0,8.0,practical_priority_pool
TCD,Chad,SAI_MGIMO_V3,68.11748858521264,9.0,9.0,practical_priority_pool
MEX,Mexico,SAI_MGIMO_V3,68.05669582769028,10.0,10.0,practical_priority_pool
AGO,Angola,SAI_MGIMO_V3,68.02352450369692,11.0,11.0,practical_priority_pool
PHL,Philippines,SAI_MGIMO_V3,67.53355794087017,12.0,12.0,practical_priority_pool
IRQ,Iraq,SAI_MGIMO_V3,67.45911853297955,13.0,13.0,practical_priority_pool
ETH,Ethiopia,SAI_MGIMO_V3,67.29851129305963,14.0,14.0,practical_priority_pool
KEN,Kenya,SAI_MGIMO_V3,67.25766156735719,15.0,15.0,practical_priority_pool
SEN,Senegal,SAI_MGIMO_V3,66.94120439476123,16.0,16.0,practical_priority_pool
PAK,Pakistan,SAI_MGIMO_V3,66.85323875892492,17.0,17.0,practical_priority_pool
TUR,Türkiye,SAI_MGIMO_V3,66.83903462891713,18.0,18.0,practical_priority_pool
CIV,Côte d'Ivoire,SAI_MGIMO_V3,66.70200004069213,19.0,19.0,practical_priority_pool
UGA,Uganda,SAI_MGIMO_V3,66.68218756401333,20.0,20.0,practical_priority_pool
IDN,Indonesia,SAI_MGIMO_V3,66.66427539264215,21.0,21.0,practical_priority_pool
IND,India,SAI_MGIMO_V3,66.5511548555709,22.0,22.0,practical_priority_pool
MYS,Malaysia,SAI_MGIMO_V3,66.45117786541492,23.0,23.0,practical_priority_pool
MRT,Mauritania,SAI_MGIMO_V3,66.27414567141703,24.0,24.0,practical_priority_pool
MLI,Mali,SAI_MGIMO_V3,66.03584890975482,25.0,25.0,practical_priority_pool
KWT,Kuwait,SAI_MGIMO_V3,65.92862822399222,26.0,26.0,practical_priority_pool
GHA,Ghana,SAI_MGIMO_V3,65.75291399365472,27.0,27.0,practical_priority_pool
CMR,Cameroon,SAI_MGIMO_V3,65.64323238615921,28.0,28.0,practical_priority_pool
BRA,Brazil,SAI_MGIMO_V3,65.46024420692619,29.0,29.0,practical_priority_pool
NER,Niger,SAI_MGIMO_V3,65.45871155414818,30.0,30.0,practical_priority_pool
GAB,Gabon,SAI_MGIMO_V3,65.40324889333678,31.0,31.0,practical_priority_pool
VNM,Viet Nam,SAI_MGIMO_V3,65.18194912428332,32.0,32.0,in_preparation_but_ranked
BGD,Bangladesh,SAI_MGIMO_V3,65.1797635265477,33.0,33.0,practical_priority_pool
CHN,China,SAI_MGIMO_V3,65.13250586201673,34.0,34.0,practical_priority_pool
SYR,Syrian Arab Republic,SAI_MGIMO_V3,65.11820499438011,35.0,35.0,practical_priority_pool
ISR,Israel,SAI_MGIMO_V3,65.06209061573888,36.0,36.0,practical_priority_pool
COG,"Congo, Rep.",SAI_MGIMO_V3,64.97943902554864,37.0,37.0,practical_priority_pool
JOR,Jordan,SAI_MGIMO_V3,64.52757121725271,38.0,38.0,practical_priority_pool
KAZ,Kazakhstan,SAI_MGIMO_V3,64.50898095731968,39.0,39.0,practical_priority_pool
ZMB,Zambia,SAI_MGIMO_V3,64.34883111260079,40.0,40.0,practical_priority_pool
AFG,Afghanistan,SAI_MGIMO_V3,64.06633138808587,41.0,41.0,practical_priority_pool
ZWE,Zimbabwe,SAI_MGIMO_V3,63.9319933088282,42.0,42.0,practical_priority_pool
BFA,Burkina Faso,SAI_MGIMO_V3,63.54669084692048,43.0,43.0,practical_priority_pool
PER,Peru,SAI_MGIMO_V3,63.30610449583334,44.0,44.0,practical_priority_pool
ARG,Argentina,SAI_MGIMO_V3,63.13261172865426,45.0,45.0,practical_priority_pool
SAU,Saudi Arabia,SAI_MGIMO_V3,63.05997397148423,46.0,46.0,practical_priority_pool
MOZ,Mozambique,SAI_MGIMO_V3,63.02807288222415,47.0,47.0,practical_priority_pool
COL,Colombia,SAI_MGIMO_V3,63.01234925621409,48.0,48.0,practical_priority_pool
UZB,Uzbekistan,SAI_MGIMO_V3,62.79527590926892,49.0,49.0,practical_priority_pool
ZAF,South Africa,SAI_MGIMO_V3,62.73053666827839,50.0,50.0,practical_priority_pool
YEM,"Yemen, Rep.",SAI_MGIMO_V3,62.68110542607593,51.0,51.0,practical_priority_pool
TKM,Turkmenistan,SAI_MGIMO_V3,62.58775076191814,52.0,52.0,practical_priority_pool
THA,Thailand,SAI_MGIMO_V3,62.58665586030424,53.0,53.0,practical_priority_pool
MAR,Morocco,SAI_MGIMO_V3,62.42634725294944,54.0,54.0,practical_priority_pool
RWA,Rwanda,SAI_MGIMO_V3,62.1388630388478,55.0,55.0,practical_priority_pool
BEN,Benin,SAI_MGIMO_V3,62.09206359428174,56.0,56.0,practical_priority_pool
IRN,"Iran, Islamic Rep.",SAI_MGIMO_V3,62.04681551862843,57.0,57.0,practical_priority_pool
SDN,Sudan,SAI_MGIMO_V3,61.9292434336092,58.0,58.0,practical_priority_pool
OMN,Oman,SAI_MGIMO_V3,61.53516340442353,59.0,59.0,practical_priority_pool
MDG,Madagascar,SAI_MGIMO_V3,61.255843403244505,60.0,60.0,practical_priority_pool
DZA,Algeria,SAI_MGIMO_V3,61.180776489572494,61.0,61.0,practical_priority_pool
LKA,Sri Lanka,SAI_MGIMO_V3,61.13902973735505,62.0,62.0,practical_priority_pool
GIN,Guinea,SAI_MGIMO_V3,60.90355229357945,63.0,63.0,practical_priority_pool
BDI,Burundi,SAI_MGIMO_V3,60.88404510415803,64.0,64.0,practical_priority_pool
GTM,Guatemala,SAI_MGIMO_V3,60.09574051629457,65.0,65.0,practical_priority_pool
NPL,Nepal,SAI_MGIMO_V3,60.0050931284797,66.0,66.0,practical_priority_pool
GNB,Guinea-Bissau,SAI_MGIMO_V3,59.92934147039337,67.0,67.0,practical_priority_pool
BTN,Bhutan,SAI_MGIMO_V3,59.73562139172097,68.0,68.0,practical_priority_pool
TGO,Togo,SAI_MGIMO_V3,59.66808935729687,69.0,69.0,practical_priority_pool
ECU,Ecuador,SAI_MGIMO_V3,59.32890819927359,70.0,70.0,practical_priority_pool
COM,Comoros,SAI_MGIMO_V3,59.02439759707752,71.0,71.0,practical_priority_pool
LBY,Libya,SAI_MGIMO_V3,58.80744580525983,72.0,72.0,practical_priority_pool
VEN,"Venezuela, RB",SAI_MGIMO_V3,58.70548349779862,73.0,73.0,practical_priority_pool
DOM,Dominican Republic,SAI_MGIMO_V3,58.54967003897246,74.0,74.0,practical_priority_pool
