rank_practical_student_recruitment,rank_reference_all,iso3,country,region,income_group,student_recruitment_status,SAI_MGIMO_V3_SCORE,A_YOUTH_OPPORTUNITY,A_OUTBOUND_MOBILITY_UIS,A_LEGAL_PARTNERSHIP_CONTEXT,A_PROGRAM_RELEVANCE,A_AFFORDABILITY_ACCESS,A_DIGITAL_REACH,A_DATAQ,pop_15_24_latest,pop_15_24_latest_year,pop_15_24_base_year,pop_15_24_growth_10y_pct,student_pool_latest,student_pool_latest_year,uis_outbound_mobility_ratio,uis_outbound_mobility_year,uis_source_key,uis_observation_status,internet_users_pct,gdp_pc_ppp_current,program_relevance_score,dataq_required_available,dataq_required_total,score_source_policy,is_unfriendly_430r,is_domestic_russia,is_non_sovereign_or_special,has_existing_mgimo_presence,in_preparation,has_required_open_data,due_diligence_warnings,latitude,longitude
1,1,NGA,Nigeria,Sub-Saharan Africa,Lower middle income,practical_priority_pool,72.32919317075454,0.992765961670661,0.046905749056918876,1.0,0.316928046903593,0.36273051958782415,0.3071489023887711,1.0,47928928.0,2024,2014,37.277481200612804,55909051.6,2024,3.771680116653442,2011.0,unesco_uis_uis006_mor_5t8_40510,uis_estimate,41.21139908,7994.215638614593,0.316928046903593,6,6,open_api_factual_only,False,False,False,False,False,True,,9.439799,7.50322
2,2,GNQ,Equatorial Guinea,Sub-Saharan Africa,Upper middle income,practical_priority_pool,71.34140402871041,0.617797923890933,1.0,1.0,0.3536575852824263,0.5529669989862253,0.5761112894967486,1.0,327282.0,2024,2014,33.81224369641389,388220.55,2024,130.4430847167969,2000.0,unesco_uis_uis006_mor_5t8_40510,uis_estimate,63.29930115,15454.42849356404,0.3536575852824263,6,6,open_api_factual_only,False,False,False,False,False,True,,2.333,8.9902
3,3,COD,"Congo, Dem. Rep.",Sub-Saharan Africa,Low income,practical_priority_pool,70.31333794542492,0.9946609695239629,0.03314594171905516,1.0,0.4838023738607193,0.0,0.044883852709031606,1.0,20850925.0,2024,2014,37.85737360097503,24468739.6,2024,2.89424991607666,2020.0,unesco_uis_uis006_mor_5t8_40510,uis_estimate,19.67350006,1602.0749798949962,0.4838023738607193,6,6,open_api_factual_only,False,False,False,False,False,True,,-1.858167,23.458829
4,4,EGY,"Egypt, Arab Rep.",Middle East & North Africa,Lower middle income,practical_priority_pool,69.95294946432622,0.8829277173529426,0.01655476426587431,1.0,0.4027850807853746,0.5770289653580546,0.7143082324984454,1.0,20504587.0,2024,2014,15.408787792144052,24536452.0,2024,1.836269974708557,2023.0,unesco_uis_uis006_mor_5t8_40510,uis_estimate,74.64839935,16798.151577864,0.4027850807853746,6,6,open_api_factual_only,False,False,False,False,False,True,,26.186173,29.445837
5,5,ARE,United Arab Emirates,Middle East & North Africa,High income,practical_priority_pool,68.61664641924182,0.6970208563765863,0.07686390057206227,1.0,0.8261867829907272,0.9877144878889457,1.0,1.0,1422303.0,2024,2014,24.240303983228518,2077655.1,2024,5.682040214538574,2023.0,unesco_uis_uis006_mor_5t8_40510,uis_estimate,100.0,69701.80479835454,0.8261867829907272,6,6,open_api_factual_only,False,False,False,False,False,True,,23.466285,54.547256
6,6,DJI,Djibouti,Middle East & North Africa,Lower middle income,practical_priority_pool,68.61476962194496,0.5061448957951116,1.0,1.0,0.8739293033132084,0.3190416110318961,0.600460184873081,1.0,229512.0,2024,2014,17.29364807612701,274343.25,2024,64.60285949707031,2011.0,unesco_uis_uis006_mor_5t8_40510,uis_estimate,65.29889679,6871.124404531289,0.8739293033132084,6,6,open_api_factual_only,False,False,False,False,False,True,,11.976343,42.498825
7,7,TZA,Tanzania,Sub-Saharan Africa,Lower middle income,practical_priority_pool,68.5578801610842,0.9636370181692004,0.027018696025759924,1.0,0.2944862105029038,0.14145374280370082,0.18477949384164308,1.0,13847999.0,2024,2014,38.70087113728613,16273927.4,2024,2.503530025482178,2023.0,unesco_uis_uis006_mor_5t8_40510,uis_estimate,31.16209984,3713.26293945313,0.2944862105029038,6,6,open_api_factual_only,False,False,False,False,False,True,,-6.051866,34.959183
8,8,MWI,Malawi,Sub-Saharan Africa,Low income,practical_priority_pool,68.24095343481251,0.8708476982471813,0.45532303236714045,1.0,0.1585674495184121,0.0,0.036215102107971756,1.0,4690490.0,2024,2014,40.13225429823481,5485741.7,2024,29.81547927856445,2011.0,unesco_uis_uis006_mor_5t8_40510,uis_estimate,18.96159935,1634.24660266597,0.1585674495184121,6,6,open_api_factual_only,False,False,False,False,False,True,,-13.386737,33.608082
9,9,TCD,Chad,Sub-Saharan Africa,Low income,practical_priority_pool,68.11748858521264,0.8583739096383518,0.44801085786650574,1.0,0.2410239069003337,0.01707135370471328,0.0,1.0,4056732.0,2024,2014,48.99605576941512,4755149.1,2024,29.34919929504395,2020.0,unesco_uis_uis006_mor_5t8_40510,uis_estimate,12.62689972,2412.8658553920027,0.2410239069003337,6,6,open_api_factual_only,False,False,False,False,False,True,,15.142959,18.645041
10,10,MEX,Mexico,Latin America & Caribbean,Upper middle income,practical_priority_pool,68.05669582769028,0.8159250032068538,0.0,1.0,0.5072529696093646,0.6554072401406749,0.8174946174071562,1.0,22228572.0,2024,2014,1.2842972233971572,26997320.55,2024,0.7425900101661682,2023.0,unesco_uis_uis006_mor_5t8_40510,uis_estimate,83.12233799,22039.628701901565,0.5072529696093646,6,6,open_api_factual_only,False,False,False,False,False,True,,23.919988,-102.289448
