originIso3,originCountry,region,originLat,originLon,destinationCity,destinationLat,destinationLon,flowType,modelledPotentialIndex,strokeWidth,saiMgimoV3Score,rankPracticalStudentRecruitment,studentRecruitmentStatus,trace,evidence,iso3,country
NGA,Nigeria,Sub-Saharan Africa,9.439799,7.50322,Moscow,55.7558,37.6176,modelled_potential_not_observed_mgimo_students,80.07701908294327,2.5318099484491667,72.32919317075454,1,practical_priority_pool,"{'source_key': 'student_flows_modelled_v3.csv', 'year': '2026/2035', 'raw_value': 80.07701908294327, 'normalized_value': 0.8007701908294327, 'normalization_method': '0.72*SAI_MGIMO_V3_SCORE/100 + 0.28*lognorm(pop_15_24_latest)', 'weight': 1.0, 'score_type': 'modelled_potential_not_observed_student_headcount'}",modelled,NGA,Nigeria
GNQ,Equatorial Guinea,Sub-Saharan Africa,2.333,8.9902,Moscow,55.7558,37.6176,modelled_potential_not_observed_mgimo_students,62.18837712920495,2.1114268625363164,71.34140402871041,2,practical_priority_pool,"{'source_key': 'student_flows_modelled_v3.csv', 'year': '2026/2035', 'raw_value': 62.18837712920495, 'normalized_value': 0.6218837712920495, 'normalization_method': '0.72*SAI_MGIMO_V3_SCORE/100 + 0.28*lognorm(pop_15_24_latest)', 'weight': 1.0, 'score_type': 'modelled_potential_not_observed_student_headcount'}",modelled,GNQ,Equatorial Guinea
COD,"Congo, Dem. Rep.",Sub-Saharan Africa,-1.858167,23.458829,Moscow,55.7558,37.6176,modelled_potential_not_observed_mgimo_students,77.3913436295259,2.4686965752938588,70.31333794542492,3,practical_priority_pool,"{'source_key': 'student_flows_modelled_v3.csv', 'year': '2026/2035', 'raw_value': 77.3913436295259, 'normalized_value': 0.7739134362952591, 'normalization_method': '0.72*SAI_MGIMO_V3_SCORE/100 + 0.28*lognorm(pop_15_24_latest)', 'weight': 1.0, 'score_type': 'modelled_potential_not_observed_student_headcount'}",modelled,COD,"Congo, Dem. Rep."
EGY,"Egypt, Arab Rep.",Middle East & North Africa,26.186173,29.445837,Moscow,55.7558,37.6176,modelled_potential_not_observed_mgimo_students,77.06758318806291,2.4610882049194784,69.95294946432622,4,practical_priority_pool,"{'source_key': 'student_flows_modelled_v3.csv', 'year': '2026/2035', 'raw_value': 77.06758318806291, 'normalized_value': 0.7706758318806292, 'normalization_method': '0.72*SAI_MGIMO_V3_SCORE/100 + 0.28*lognorm(pop_15_24_latest)', 'weight': 1.0, 'score_type': 'modelled_potential_not_observed_student_headcount'}",modelled,EGY,"Egypt, Arab Rep."
ARE,United Arab Emirates,Middle East & North Africa,23.466285,54.547256,Moscow,55.7558,37.6176,modelled_potential_not_observed_mgimo_students,65.86496988382339,2.19782679226985,68.61664641924182,5,practical_priority_pool,"{'source_key': 'student_flows_modelled_v3.csv', 'year': '2026/2035', 'raw_value': 65.86496988382339, 'normalized_value': 0.6586496988382339, 'normalization_method': '0.72*SAI_MGIMO_V3_SCORE/100 + 0.28*lognorm(pop_15_24_latest)', 'weight': 1.0, 'score_type': 'modelled_potential_not_observed_student_headcount'}",modelled,ARE,United Arab Emirates
DJI,Djibouti,Middle East & North Africa,11.976343,42.498825,Moscow,55.7558,37.6176,modelled_potential_not_observed_mgimo_students,58.86332354471055,2.033288103300698,68.61476962194496,6,practical_priority_pool,"{'source_key': 'student_flows_modelled_v3.csv', 'year': '2026/2035', 'raw_value': 58.86332354471055, 'normalized_value': 0.5886332354471056, 'normalization_method': '0.72*SAI_MGIMO_V3_SCORE/100 + 0.28*lognorm(pop_15_24_latest)', 'weight': 1.0, 'score_type': 'modelled_potential_not_observed_student_headcount'}",modelled,DJI,Djibouti
TZA,Tanzania,Sub-Saharan Africa,-6.051866,34.959183,Moscow,55.7558,37.6176,modelled_potential_not_observed_mgimo_students,74.55679571846954,2.4020846993840346,68.5578801610842,7,practical_priority_pool,"{'source_key': 'student_flows_modelled_v3.csv', 'year': '2026/2035', 'raw_value': 74.55679571846954, 'normalized_value': 0.7455679571846955, 'normalization_method': '0.72*SAI_MGIMO_V3_SCORE/100 + 0.28*lognorm(pop_15_24_latest)', 'weight': 1.0, 'score_type': 'modelled_potential_not_observed_student_headcount'}",modelled,TZA,Tanzania
MWI,Malawi,Sub-Saharan Africa,-13.386737,33.608082,Moscow,55.7558,37.6176,modelled_potential_not_observed_mgimo_students,70.17387269103199,2.299086008239252,68.24095343481251,8,practical_priority_pool,"{'source_key': 'student_flows_modelled_v3.csv', 'year': '2026/2035', 'raw_value': 70.17387269103199, 'normalized_value': 0.7017387269103199, 'normalization_method': '0.72*SAI_MGIMO_V3_SCORE/100 + 0.28*lognorm(pop_15_24_latest)', 'weight': 1.0, 'score_type': 'modelled_potential_not_observed_student_headcount'}",modelled,MWI,Malawi
TCD,Chad,Sub-Saharan Africa,15.142959,18.645041,Moscow,55.7558,37.6176,modelled_potential_not_observed_mgimo_students,69.52789638849247,2.2839055651295728,68.11748858521264,9,practical_priority_pool,"{'source_key': 'student_flows_modelled_v3.csv', 'year': '2026/2035', 'raw_value': 69.52789638849247, 'normalized_value': 0.6952789638849246, 'normalization_method': '0.72*SAI_MGIMO_V3_SCORE/100 + 0.28*lognorm(pop_15_24_latest)', 'weight': 1.0, 'score_type': 'modelled_potential_not_observed_student_headcount'}",modelled,TCD,Chad
MEX,Mexico,Latin America & Caribbean,23.919988,-102.289448,Moscow,55.7558,37.6176,modelled_potential_not_observed_mgimo_students,76.0120996802466,2.4362843424857954,68.05669582769028,10,practical_priority_pool,"{'source_key': 'student_flows_modelled_v3.csv', 'year': '2026/2035', 'raw_value': 76.0120996802466, 'normalized_value': 0.760120996802466, 'normalization_method': '0.72*SAI_MGIMO_V3_SCORE/100 + 0.28*lognorm(pop_15_24_latest)', 'weight': 1.0, 'score_type': 'modelled_potential_not_observed_student_headcount'}",modelled,MEX,Mexico
