origin_iso3,origin_country,region,origin_lat,origin_lon,destination_city,destination_lat,destination_lon,flow_type,modelled_potential_index,stroke_width,SAI_MGIMO_V3_SCORE,rank_practical_student_recruitment,student_recruitment_status,due_diligence_warnings,source,year
NGA,Nigeria,Sub-Saharan Africa,9.439799,7.50322,Moscow,55.7558,37.6176,modelled_potential_not_observed_mgimo_students,80.07701908294327,2.5318099484491667,72.32919317075454,1,practical_priority_pool,,student_attraction_v3.csv,latest open indicators
GNQ,Equatorial Guinea,Sub-Saharan Africa,2.333,8.9902,Moscow,55.7558,37.6176,modelled_potential_not_observed_mgimo_students,62.188377129204945,2.1114268625363164,71.34140402871041,2,practical_priority_pool,,student_attraction_v3.csv,latest open indicators
COD,"Congo, Dem. Rep.",Sub-Saharan Africa,-1.858167,23.458829,Moscow,55.7558,37.6176,modelled_potential_not_observed_mgimo_students,77.3913436295259,2.4686965752938588,70.31333794542492,3,practical_priority_pool,,student_attraction_v3.csv,latest open indicators
EGY,"Egypt, Arab Rep.",Middle East & North Africa,26.186173,29.445837,Moscow,55.7558,37.6176,modelled_potential_not_observed_mgimo_students,77.06758318806291,2.4610882049194784,69.95294946432622,4,practical_priority_pool,,student_attraction_v3.csv,latest open indicators
ARE,United Arab Emirates,Middle East & North Africa,23.466285,54.547256,Moscow,55.7558,37.6176,modelled_potential_not_observed_mgimo_students,65.86496988382339,2.19782679226985,68.61664641924182,5,practical_priority_pool,,student_attraction_v3.csv,latest open indicators
DJI,Djibouti,Middle East & North Africa,11.976343,42.498825,Moscow,55.7558,37.6176,modelled_potential_not_observed_mgimo_students,58.86332354471055,2.033288103300698,68.61476962194496,6,practical_priority_pool,,student_attraction_v3.csv,latest open indicators
TZA,Tanzania,Sub-Saharan Africa,-6.051866,34.959183,Moscow,55.7558,37.6176,modelled_potential_not_observed_mgimo_students,74.55679571846954,2.4020846993840346,68.5578801610842,7,practical_priority_pool,,student_attraction_v3.csv,latest open indicators
MWI,Malawi,Sub-Saharan Africa,-13.386737,33.608082,Moscow,55.7558,37.6176,modelled_potential_not_observed_mgimo_students,70.17387269103199,2.299086008239252,68.24095343481251,8,practical_priority_pool,,student_attraction_v3.csv,latest open indicators
TCD,Chad,Sub-Saharan Africa,15.142959,18.645041,Moscow,55.7558,37.6176,modelled_potential_not_observed_mgimo_students,69.52789638849247,2.2839055651295728,68.11748858521264,9,practical_priority_pool,,student_attraction_v3.csv,latest open indicators
MEX,Mexico,Latin America & Caribbean,23.919988,-102.289448,Moscow,55.7558,37.6176,modelled_potential_not_observed_mgimo_students,76.0120996802466,2.4362843424857954,68.05669582769028,10,practical_priority_pool,,student_attraction_v3.csv,latest open indicators
